chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	817.0	941.0	450.0	440.0	0.5507955936352509	0.4675876726886291	0.5057923441431545
chr2	623.0	739.0	320.0	321.0	0.5136436597110754	0.43437077131258456	0.47069281932260004
chr3	483.0	666.0	276.0	273.0	0.5714285714285714	0.4099099099099099	0.47737704918032786
chr4	331.0	551.0	187.0	185.0	0.5649546827794562	0.33575317604355714	0.4211916820882438
chr5	395.0	581.0	212.0	211.0	0.5367088607594936	0.36316695352839934	0.4332040461560065
chr6	480.0	660.0	276.0	279.0	0.575	0.42272727272727273	0.48724373576309793
chr7	412.0	508.0	217.0	216.0	0.5266990291262136	0.4251968503937008	0.4705362700022086
chr8	333.0	550.0	202.0	205.0	0.6066066066066066	0.37272727272727274	0.4617400273185962
chr9	328.0	394.0	172.0	170.0	0.524390243902439	0.43147208121827413	0.47341493426591547
chr10	364.0	454.0	196.0	198.0	0.5384615384615384	0.43612334801762115	0.4819193324061196
chr11	483.0	553.0	270.0	269.0	0.5590062111801242	0.4864376130198915	0.5202032681915362
chr12	399.0	516.0	220.0	221.0	0.5513784461152882	0.42829457364341084	0.4821045220848888
chr13	182.0	266.0	92.0	93.0	0.5054945054945055	0.34962406015037595	0.4133533020918885
chr14	283.0	338.0	151.0	152.0	0.5335689045936396	0.44970414201183434	0.4880600506092246
chr15	282.0	325.0	147.0	144.0	0.5212765957446809	0.4430769230769231	0.4790061437154205
chr16	309.0	281.0	148.0	145.0	0.47896440129449835	0.5160142348754448	0.49679950921949695
chr17	317.0	387.0	169.0	166.0	0.5331230283911672	0.4289405684754522	0.47539080703240844
chr18	170.0	237.0	88.0	94.0	0.5176470588235295	0.39662447257383965	0.4491258551417092
chr19	215.0	259.0	100.0	102.0	0.46511627906976744	0.3938223938223938	0.42651055822705414
chr20	219.0	270.0	131.0	130.0	0.5981735159817352	0.48148148148148145	0.5335213032581454
chr21	90.0	115.0	52.0	51.0	0.5777777777777777	0.4434782608695652	0.5017975402081363
chr22	160.0	170.0	83.0	80.0	0.51875	0.47058823529411764	0.49349684132292826
chrX	163.0	318.0	75.0	78.0	0.4601226993865031	0.24528301886792453	0.3199868723334427
average	340.7826086956522	438.2173913043478	184.08695652173913	183.6086956521739	0.5360473134897331	0.4188002298578208	0.4679334266992413
standard error	34.40929857101372	41.88875520159187	19.295692964241265	18.999660817695915	0.007921795585816018	0.012119726453413108	0.009213431203252775
overall	7838.0	10079.0	4234.0	4223.0	0.54018882367951	0.4189899791645997	0.47193224726675354
