chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	436.0	669.0	263.0	263.0	0.6032110091743119	0.3931240657698057	0.4760180995475113
chr2	265.0	356.0	93.0	95.0	0.35094339622641507	0.26685393258426965	0.30317588319063876
chr3	180.0	345.0	78.0	80.0	0.43333333333333335	0.2318840579710145	0.3021060275962237
chr4	99.0	214.0	31.0	31.0	0.31313131313131315	0.14485981308411214	0.19808306709265175
chr5	139.0	257.0	53.0	54.0	0.381294964028777	0.21011673151750973	0.2709329294267998
chr6	159.0	346.0	91.0	92.0	0.5723270440251572	0.2658959537572254	0.3631001431235633
chr7	188.0	271.0	86.0	87.0	0.4574468085106383	0.3210332103321033	0.3772880843124401
chr8	105.0	203.0	42.0	42.0	0.4	0.20689655172413793	0.27272727272727276
chr10	158.0	256.0	51.0	52.0	0.3227848101265823	0.203125	0.24934185784129373
chr11	169.0	348.0	89.0	89.0	0.5266272189349113	0.2557471264367816	0.3442940038684719
chr12	145.0	244.0	69.0	69.0	0.47586206896551725	0.2827868852459016	0.35475578406169667
chr13	66.0	65.0	9.0	9.0	0.13636363636363635	0.13846153846153847	0.13740458015267176
chr14	68.0	131.0	31.0	31.0	0.45588235294117646	0.2366412213740458	0.31155778894472363
chr15	104.0	184.0	56.0	56.0	0.5384615384615384	0.30434782608695654	0.38888888888888895
chr16	179.0	182.0	64.0	65.0	0.3575418994413408	0.35714285714285715	0.3573422668900056
chr17	199.0	279.0	94.0	95.0	0.4723618090452261	0.34050179211469533	0.395736854933416
chr18	41.0	84.0	12.0	13.0	0.2926829268292683	0.15476190476190477	0.20246593121349774
chr19	126.0	229.0	80.0	80.0	0.6349206349206349	0.34934497816593885	0.4507042253521127
chr20	75.0	173.0	49.0	49.0	0.6533333333333333	0.2832369942196532	0.3951612903225807
chr21	39.0	60.0	21.0	21.0	0.5384615384615384	0.35	0.42424242424242425
chr22	90.0	108.0	44.0	44.0	0.4888888888888889	0.4074074074074074	0.4444444444444444
chrX	181.0	132.0	20.0	20.0	0.11049723756906077	0.15151515151515152	0.12779552715654952
average	145.95454545454547	233.45454545454547	64.81818181818181	65.31818181818181	0.43256171648693625	0.26616749998513684	0.32488942615135813
standard error	18.398249172386187	28.490427288267956	11.087732850136748	11.104265075766367	0.030534049878535207	0.01729654960278354	0.020857501820660894
overall	3211.0	5136.0	1426.0	1437.0	0.44409841170974773	0.2797897196261682	0.3432966081910729
