chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	314.0	669.0	249.0	251.0	0.7929936305732485	0.375186846038864	0.5093746816357302
chr2	137.0	356.0	82.0	84.0	0.5985401459854015	0.23595505617977527	0.3384766584766585
chr3	107.0	345.0	58.0	58.0	0.5420560747663551	0.1681159420289855	0.2566371681415929
chr4	90.0	214.0	29.0	30.0	0.32222222222222224	0.14018691588785046	0.1953739052324276
chr5	85.0	257.0	52.0	54.0	0.611764705882353	0.21011673151750973	0.3127993761835802
chr6	114.0	346.0	79.0	83.0	0.6929824561403509	0.2398843930635838	0.3563974345037504
chr7	122.0	271.0	89.0	92.0	0.7295081967213115	0.33948339483394835	0.4633449339331693
chr8	59.0	203.0	33.0	34.0	0.559322033898305	0.16748768472906403	0.2577828834003446
chr10	89.0	256.0	57.0	58.0	0.6404494382022472	0.2265625	0.33471701933785564
chr11	121.0	348.0	87.0	88.0	0.71900826446281	0.25287356321839083	0.37415697390284436
chr12	111.0	244.0	69.0	69.0	0.6216216216216216	0.2827868852459016	0.3887323943661971
chr13	80.0	65.0	8.0	8.0	0.1	0.12307692307692308	0.1103448275862069
chr14	69.0	131.0	25.0	25.0	0.36231884057971014	0.19083969465648856	0.25000000000000006
chr15	82.0	184.0	56.0	55.0	0.6829268292682927	0.29891304347826086	0.41582287025786413
chr16	90.0	182.0	59.0	59.0	0.6555555555555556	0.3241758241758242	0.4338235294117647
chr17	123.0	279.0	89.0	89.0	0.7235772357723578	0.31899641577060933	0.4427860696517413
chr18	45.0	84.0	17.0	18.0	0.37777777777777777	0.21428571428571427	0.27345844504021444
chr19	101.0	229.0	78.0	78.0	0.7722772277227723	0.3406113537117904	0.4727272727272727
chr20	71.0	173.0	48.0	48.0	0.676056338028169	0.2774566473988439	0.3934426229508196
chr21	26.0	60.0	18.0	18.0	0.6923076923076923	0.3	0.4186046511627907
chr22	72.0	108.0	53.0	52.0	0.7361111111111112	0.48148148148148145	0.5821715251373045
chrX	165.0	132.0	20.0	19.0	0.12121212121212122	0.14393939393939395	0.1316017316017316
average	103.31818181818181	233.45454545454547	61.59090909090909	62.27272727272727	0.5786631599914448	0.25692801839632745	0.3505716806655391
standard error	12.043101951095755	28.490427288267956	10.449354065852388	10.559905757274478	0.04223432907941999	0.018699889273090173	0.025472322207370095
overall	2273.0	5136.0	1355.0	1370.0	0.5961284645842498	0.2667445482866044	0.36856875956117613
