chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	527.0	949.0	390.0	393.0	0.7400379506641366	0.41412012644889357	0.5310617597072872
chr2	389.0	749.0	280.0	286.0	0.7197943444730077	0.3818424566088118	0.49898122589368615
chr3	368.0	672.0	261.0	262.0	0.7092391304347826	0.3898809523809524	0.5031639981163174
chr4	227.0	552.0	158.0	158.0	0.6960352422907489	0.286231884057971	0.4056482670089858
chr5	275.0	586.0	199.0	205.0	0.7236363636363636	0.34982935153583616	0.4716484863199394
chr6	341.0	669.0	251.0	260.0	0.7360703812316716	0.38863976083707025	0.5086932289860042
chr7	270.0	509.0	188.0	190.0	0.6962962962962963	0.37328094302554027	0.486012844236421
chr8	244.0	556.0	185.0	187.0	0.7581967213114754	0.3363309352517986	0.4659635795485157
chr9	218.0	398.0	153.0	156.0	0.7018348623853211	0.39195979899497485	0.5030030979326041
chr10	232.0	461.0	167.0	176.0	0.7198275862068966	0.38177874186550975	0.49893480677989116
chr11	291.0	556.0	211.0	216.0	0.7250859106529209	0.38848920863309355	0.505916568612215
chr12	289.0	524.0	200.0	201.0	0.6920415224913494	0.383587786259542	0.49358765785289366
chr13	132.0	270.0	90.0	91.0	0.6818181818181818	0.337037037037037	0.4510905485789821
chr14	187.0	342.0	137.0	142.0	0.732620320855615	0.4152046783625731	0.5300239755884917
chr15	177.0	329.0	125.0	131.0	0.7062146892655368	0.3981762917933131	0.509236223410872
chr16	173.0	283.0	115.0	117.0	0.6647398843930635	0.4134275618374558	0.5097942636305081
chr17	199.0	393.0	135.0	134.0	0.678391959798995	0.34096692111959287	0.4538327416866322
chr18	118.0	238.0	80.0	82.0	0.6779661016949152	0.3445378151260504	0.4568881459813345
chr19	131.0	261.0	74.0	75.0	0.5648854961832062	0.28735632183908044	0.38093277051374447
chr20	141.0	271.0	95.0	96.0	0.6737588652482269	0.35424354243542433	0.4643466306865915
chr21	58.0	116.0	43.0	42.0	0.7413793103448276	0.3620689655172414	0.48653017241379315
chr22	98.0	171.0	66.0	64.0	0.673469387755102	0.3742690058479532	0.4811481945551886
chrX	94.0	321.0	70.0	73.0	0.7446808510638298	0.22741433021806853	0.3484249284058366
average	225.17391304347825	442.4347826086956	159.69565217391303	162.47826086956522	0.7025226678476726	0.3617684529145123	0.4758636572368147
standard error	23.088646164621075	42.31613686383576	17.27268340548513	17.543832127340988	0.008350643075663465	0.009511592089707031	0.009453841587677318
overall	5179.0	10176.0	3673.0	3737.0	0.7092102722533308	0.3672366352201258	0.4839030931068651
