chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	437.0	949.0	341.0	343.0	0.7803203661327232	0.36143308746048475	0.49403590285110877
chr2	361.0	749.0	271.0	276.0	0.7506925207756233	0.3684913217623498	0.49433108074616255
chr3	294.0	672.0	222.0	223.0	0.7551020408163265	0.3318452380952381	0.4610656310245592
chr4	235.0	552.0	173.0	176.0	0.7361702127659574	0.3188405797101449	0.4449640498041737
chr5	250.0	586.0	186.0	191.0	0.744	0.32593856655290104	0.4532938639582509
chr6	285.0	669.0	230.0	236.0	0.8070175438596491	0.35276532137518685	0.49093293537737986
chr7	244.0	509.0	181.0	183.0	0.7418032786885246	0.35952848722986247	0.484321652861143
chr8	204.0	556.0	160.0	162.0	0.7843137254901961	0.29136690647482016	0.42489017113631894
chr9	183.0	398.0	133.0	136.0	0.726775956284153	0.3417085427135678	0.4648556963326566
chr10	191.0	461.0	142.0	146.0	0.743455497382199	0.31670281995661603	0.4441873419891159
chr11	275.0	556.0	198.0	203.0	0.72	0.36510791366906475	0.4845189948949148
chr12	263.0	524.0	181.0	182.0	0.688212927756654	0.3473282442748092	0.4616635134188214
chr13	112.0	270.0	77.0	76.0	0.6875	0.2814814814814815	0.3994266602962255
chr14	156.0	342.0	108.0	109.0	0.6923076923076923	0.31871345029239767	0.43648498331479424
chr15	137.0	329.0	107.0	108.0	0.781021897810219	0.3282674772036474	0.46224924498489967
chr16	139.0	283.0	106.0	105.0	0.762589928057554	0.3710247349823322	0.49918148588343464
chr17	161.0	393.0	110.0	109.0	0.6832298136645962	0.27735368956743	0.39454416821599564
chr18	91.0	238.0	67.0	70.0	0.7362637362637363	0.29411764705882354	0.42032622333751574
chr19	100.0	261.0	62.0	63.0	0.62	0.2413793103448276	0.3474779823859087
chr20	122.0	271.0	93.0	95.0	0.7622950819672131	0.3505535055350554	0.48025439621667165
chr21	54.0	116.0	42.0	40.0	0.7777777777777778	0.3448275862068966	0.47781569965870313
chr22	72.0	171.0	52.0	52.0	0.7222222222222222	0.30409356725146197	0.4279835390946502
chrX	123.0	321.0	84.0	85.0	0.6829268292682927	0.26479750778816197	0.38162430850637374
average	195.17391304347825	442.4347826086956	144.6086956521739	146.47826086956522	0.7341738717083178	0.32424639073858963	0.4491491098386861
standard error	20.066160547209215	42.31613686383576	15.687504043800217	15.951367488830076	0.009034788744420827	0.007468932564366354	0.008403991872575395
overall	4489.0	10176.0	3326.0	3369.0	0.7409222543996435	0.3310731132075472	0.4576501817472944
