chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	337.0	669.0	255.0	254.0	0.7566765578635015	0.3796711509715994	0.5056344240474955
chr2	113.0	356.0	70.0	72.0	0.6194690265486725	0.20224719101123595	0.3049370764762827
chr3	98.0	345.0	66.0	67.0	0.673469387755102	0.19420289855072465	0.3014725934005999
chr4	50.0	214.0	17.0	18.0	0.34	0.08411214953271028	0.13486117232260908
chr5	75.0	257.0	42.0	43.0	0.56	0.16731517509727625	0.25765033169270274
chr6	112.0	346.0	77.0	81.0	0.6875	0.23410404624277456	0.3492747941983536
chr7	111.0	271.0	74.0	75.0	0.6666666666666666	0.2767527675276753	0.39113428943937417
chr8	53.0	203.0	35.0	36.0	0.660377358490566	0.17733990147783252	0.2795961389104627
chr10	75.0	256.0	53.0	54.0	0.7066666666666667	0.2109375	0.32489499375638553
chr11	108.0	348.0	68.0	70.0	0.6296296296296297	0.20114942528735633	0.3048936715347169
chr12	95.0	244.0	59.0	59.0	0.6210526315789474	0.24180327868852458	0.34808259587020646
chr13	22.0	65.0	8.0	8.0	0.36363636363636365	0.12307692307692308	0.1839080459770115
chr14	27.0	131.0	16.0	16.0	0.5925925925925926	0.12213740458015267	0.20253164556962025
chr15	66.0	184.0	46.0	46.0	0.696969696969697	0.25	0.368
chr16	97.0	182.0	60.0	61.0	0.6185567010309279	0.33516483516483514	0.4347567856506503
chr17	119.0	279.0	88.0	88.0	0.7394957983193278	0.3154121863799283	0.4422110552763818
chr18	23.0	84.0	12.0	12.0	0.5217391304347826	0.14285714285714285	0.22429906542056077
chr19	106.0	229.0	80.0	80.0	0.7547169811320755	0.34934497816593885	0.47761194029850745
chr20	67.0	173.0	51.0	51.0	0.7611940298507462	0.2947976878612717	0.425
chr21	27.0	60.0	21.0	21.0	0.7777777777777778	0.35	0.48275862068965525
chr22	69.0	108.0	44.0	44.0	0.6376811594202898	0.4074074074074074	0.49717514124293777
chrX	57.0	132.0	11.0	11.0	0.19298245614035087	0.08333333333333333	0.1164021164021164
average	86.68181818181819	233.45454545454547	56.95454545454545	57.59090909090909	0.6172204823865765	0.2337803356006656	0.3344130226443922
standard error	13.713580080725105	28.490427288267956	10.804936596773313	10.782914794979924	0.03159909428288684	0.02032763389620004	0.024806678547564506
overall	1907.0	5136.0	1253.0	1267.0	0.6570529627687467	0.24669003115264798	0.3587046692357757
