chromosome	MSE	SSIM	PSNR
chr1	0.00020085480813097654	0.8860454974130083	36.9711755129524
chr2	0.00025574621818018816	0.8911973604314695	35.92190609836868
chr3	0.00026110430432544425	0.8903705601322967	35.8318580240875
chr4	0.0002890417444793392	0.8971472795490504	35.390392800428465
chr5	0.00024167505067164985	0.8922250128672812	36.16768001975394
chr6	0.00021580665448399402	0.8831362828550446	36.65934966561265
chr7	0.00022273077573452772	0.8838808775791924	36.522195753697574
chr8	0.0002412131040409203	0.8941014385072527	36.175989225469955
chr10	0.00022373286892296307	0.8916525710102667	36.502700142658625
chr11	0.00022758849167338343	0.8888891560344588	36.428495115980304
chr12	0.00022998014494803132	0.8912126408227792	36.38309467802122
chr13	0.00021212826353249057	0.9095693396056665	36.734012583948605
chr14	0.00023874218483939372	0.90825477486235	36.22070654114132
chr15	0.00017130780938043658	0.9029669038277829	37.662225849563825
chr16	0.00020600792820324343	0.8941222294362916	36.86115854696719
chr17	0.00022709916025658537	0.8900641866138933	36.437842804302264
chr18	0.0002792206441135325	0.8961348786973365	35.54052319861998
chr19	0.00022837106673694103	0.8877366318802458	36.413587293119434
chr20	0.00020161479797458498	0.8912414554193424	36.95477379621853
chr21	0.00016187750936484644	0.9044035467731424	37.908132179654345
chr22	0.00020260010947422162	0.8951542590310216	36.93360109945869
chrX	0.00021108216766226978	0.9060822699149212	36.755482488329825
average	0.00022497844577863474	0.8943449615120044	36.517131064470696
standard error	6.47629350806872e-06	0.0016136765240404786	0.12721041442996978
