chromosome	MSE	SSIM	PSNR
chr1	0.00037514126323383296	0.8588279611335984	34.258050477292514
chr2	0.00033098023433091245	0.8561895828432531	34.80197809684376
chr3	0.0003115496765296418	0.8548234145793959	35.06472555922551
chr4	0.00023641017765355923	0.8684655260169697	36.2633364694813
chr5	0.0002949466803488782	0.8581634059606025	35.30256340245292
chr6	0.0003286220222514222	0.8551729582161173	34.833032039918564
chr7	0.0003213027042732655	0.8590931350368302	34.93085483987572
chr8	0.0002870856480978209	0.8598363012699696	35.41988366807238
chr9	0.0002759675109383109	0.873628741766585	35.59141886109374
chr10	0.0003606953151881585	0.8543299178456909	34.42859377978665
chr11	0.00041782051902979224	0.8475475510136976	33.79010131828415
chr12	0.0003697304475246425	0.8512196567107958	34.321146660800665
chr13	0.00021663975535232363	0.8765897187535495	36.64261642967755
chr14	0.0003060983785097982	0.8676393849987541	35.14138829097344
chr15	0.0003508118706130019	0.8707324323103088	34.54925595800658
chr16	0.00044430841596889776	0.8588877866214869	33.52315362647366
chr17	0.0006076960408874943	0.845554490208607	32.163135215868415
chr18	0.000292729636255249	0.8627790554707222	35.335331585514794
chr19	0.000620722505656151	0.8398249983215675	32.07102438064006
chr20	0.0004487817032562186	0.8481460189047292	33.47964760721652
chr21	0.00025015346755857007	0.8831709094502993	36.01793299056996
chr22	0.0004681218046562401	0.8735408326302616	33.29641036615009
chrX	0.0002410534823389939	0.8774094580481826	36.17886410007579
average	0.00035466822871535545	0.8609379668744335	34.66975850975195
standard error	2.22659791445928e-05	0.002356125678952889	0.2517299690840505
