chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	444.0	669.0	258.0	260.0	0.581081081081081	0.38863976083707025	0.46576540921115667
chr2	362.0	356.0	86.0	89.0	0.23756906077348067	0.25	0.24362606232294617
chr3	306.0	345.0	76.0	76.0	0.24836601307189543	0.22028985507246376	0.23348694316436253
chr4	423.0	214.0	43.0	44.0	0.1016548463356974	0.205607476635514	0.1360465952398073
chr5	240.0	257.0	53.0	53.0	0.22083333333333333	0.20622568093385213	0.21327967806841044
chr6	193.0	346.0	97.0	100.0	0.5025906735751295	0.28901734104046245	0.36699330331807356
chr7	233.0	271.0	86.0	83.0	0.36909871244635195	0.3062730627306273	0.3347637472153828
chr8	203.0	203.0	45.0	45.0	0.22167487684729065	0.22167487684729065	0.22167487684729065
chr10	213.0	256.0	67.0	69.0	0.3145539906103286	0.26953125	0.29030738798706396
chr11	225.0	348.0	88.0	87.0	0.39111111111111113	0.25	0.3050259965337955
chr12	192.0	244.0	73.0	72.0	0.3802083333333333	0.29508196721311475	0.332279681375648
chr13	330.0	65.0	12.0	11.0	0.03636363636363636	0.16923076923076924	0.0598639455782313
chr14	198.0	131.0	29.0	29.0	0.14646464646464646	0.22137404580152673	0.1762917933130699
chr15	109.0	184.0	52.0	51.0	0.47706422018348627	0.27717391304347827	0.3506313214781516
chr16	174.0	182.0	58.0	58.0	0.3333333333333333	0.31868131868131866	0.32584269662921345
chr17	176.0	279.0	83.0	84.0	0.4715909090909091	0.3010752688172043	0.3675179884557603
chr18	132.0	84.0	16.0	16.0	0.12121212121212122	0.19047619047619047	0.14814814814814814
chr19	122.0	229.0	80.0	81.0	0.6557377049180327	0.3537117903930131	0.45954187646266215
chr20	89.0	173.0	51.0	51.0	0.5730337078651685	0.2947976878612717	0.3893129770992366
chr21	35.0	60.0	20.0	20.0	0.5714285714285714	0.3333333333333333	0.42105263157894735
chr22	81.0	108.0	43.0	43.0	0.5308641975308642	0.39814814814814814	0.45502645502645506
chrX	814.0	132.0	29.0	28.0	0.03562653562653563	0.21212121212121213	0.06100676183320812
average	240.63636363636363	233.45454545454547	65.68181818181819	65.9090909090909	0.3418846189334699	0.27147567950990276	0.28897664894941005
standard error	35.48882791428359	28.490427288267956	10.625947650866028	10.74455647758619	0.040140247996351915	0.013467111532402985	0.026022544360897244
overall	5294.0	5136.0	1445.0	1450.0	0.2729505100113336	0.2823208722741433	0.2775566273806417
