chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	8595.0	2204.0	1312.0	1259.0	0.15264688772542176	0.5712341197822142	0.24091559149355346
chr2	8181.0	1782.0	1054.0	1016.0	0.1288351057327955	0.5701459034792368	0.21017683396198122
chr3	6785.0	1487.0	922.0	881.0	0.1358879882092852	0.5924680564895763	0.22107125453436768
chr4	5864.0	1077.0	651.0	627.0	0.11101637107776262	0.5821727019498607	0.18647351271341786
chr5	5824.0	1298.0	762.0	733.0	0.1308379120879121	0.5647149460708782	0.21245293898823678
chr6	5981.0	1433.0	875.0	838.0	0.1462966059187427	0.5847871598046057	0.2340426109164879
chr7	5210.0	1148.0	669.0	641.0	0.12840690978886757	0.5583623693379791	0.20879671985396905
chr8	5016.0	1098.0	651.0	619.0	0.1297846889952153	0.563752276867031	0.21099499385030557
chr9	4041.0	868.0	572.0	555.0	0.14154912150457807	0.6394009216589862	0.2317859882135664
chr10	4635.0	1048.0	627.0	605.0	0.13527508090614887	0.5772900763358778	0.21918826928027307
chr11	4827.0	1273.0	751.0	726.0	0.15558317795732338	0.5703063629222309	0.2444726679632546
chr12	4952.0	1205.0	718.0	696.0	0.14499192245557352	0.5775933609958506	0.23179650548195616
chr13	3032.0	569.0	313.0	297.0	0.10323218997361477	0.5219683655536028	0.17237328724894563
chr14	3135.0	775.0	470.0	458.0	0.14992025518341306	0.5909677419354838	0.2391671481267499
chr15	3130.0	793.0	496.0	485.0	0.1584664536741214	0.6116015132408575	0.25171368510048775
chr16	2882.0	712.0	414.0	399.0	0.1436502428868841	0.5603932584269663	0.22868083445122334
chr17	3258.0	1056.0	581.0	558.0	0.17833026396562307	0.5284090909090909	0.2666650215916101
chr18	2527.0	522.0	345.0	324.0	0.1365255243371587	0.6206896551724138	0.22382007893171868
chr19	2665.0	897.0	473.0	462.0	0.1774859287054409	0.5150501672240803	0.26399824585883147
chr20	2370.0	638.0	382.0	371.0	0.16118143459915613	0.5815047021943573	0.2524020780312488
chr21	1072.0	279.0	145.0	146.0	0.13526119402985073	0.5232974910394266	0.21495986637355496
chr22	1518.0	473.0	275.0	259.0	0.18115942028985507	0.547568710359408	0.27224756659028315
chrX	4511.0	727.0	344.0	336.0	0.07625803591221458	0.4621733149931224	0.13091521952854934
average	4348.304347826087	1015.7391304347826	600.0869565217391	577.8695652173913	0.14098185721378084	0.5659066202931801	0.22474395300367703
standard error	408.951693827665	92.72099372545567	56.56015416967622	54.199102436591325	0.005008598651346099	0.007946116014381537	0.006603683754439368
overall	100011.0	23362.0	13802.0	13291.0	0.13800481946985832	0.5689153325913877	0.22212708900426612
