chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	337.0	669.0	252.0	256.0	0.7477744807121661	0.38266068759342303	0.5062544141881817
chr2	129.0	356.0	70.0	71.0	0.5426356589147286	0.199438202247191	0.29167522521200734
chr3	118.0	345.0	64.0	64.0	0.5423728813559322	0.1855072463768116	0.27645788336933047
chr4	112.0	214.0	23.0	24.0	0.20535714285714285	0.11214953271028037	0.14507227332457293
chr5	83.0	257.0	51.0	50.0	0.6144578313253012	0.19455252918287938	0.2955322477835081
chr6	116.0	346.0	80.0	85.0	0.6896551724137931	0.24566473988439305	0.3622802344166222
chr7	122.0	271.0	82.0	82.0	0.6721311475409836	0.3025830258302583	0.41730279898218825
chr8	63.0	203.0	37.0	38.0	0.5873015873015873	0.18719211822660098	0.283897021706209
chr10	89.0	256.0	59.0	59.0	0.6629213483146067	0.23046875	0.34202898550724636
chr11	127.0	348.0	89.0	90.0	0.7007874015748031	0.25862068965517243	0.3778123673411632
chr12	109.0	244.0	67.0	67.0	0.6146788990825688	0.27459016393442626	0.3796033994334278
chr13	121.0	65.0	8.0	8.0	0.06611570247933884	0.12307692307692308	0.08602150537634409
chr14	73.0	131.0	20.0	20.0	0.273972602739726	0.15267175572519084	0.19607843137254904
chr15	65.0	184.0	47.0	47.0	0.7230769230769231	0.2554347826086957	0.3775100401606426
chr16	89.0	182.0	58.0	58.0	0.651685393258427	0.31868131868131866	0.4280442804428044
chr17	128.0	279.0	86.0	85.0	0.671875	0.3046594982078853	0.4192234902792912
chr18	36.0	84.0	14.0	14.0	0.3888888888888889	0.16666666666666666	0.23333333333333334
chr19	112.0	229.0	81.0	81.0	0.7232142857142857	0.3537117903930131	0.4750733137829912
chr20	58.0	173.0	48.0	48.0	0.8275862068965517	0.2774566473988439	0.4155844155844156
chr21	27.0	60.0	22.0	22.0	0.8148148148148148	0.36666666666666664	0.5057471264367815
chr22	67.0	108.0	46.0	46.0	0.6865671641791045	0.42592592592592593	0.5257142857142858
chrX	301.0	132.0	17.0	17.0	0.05647840531561462	0.12878787878787878	0.07852193995381061
average	112.81818181818181	233.45454545454547	60.04545454545455	60.54545454545455	0.5665613153980587	0.24759852453547476	0.33721677335007755
standard error	15.661135114969632	28.490427288267956	10.616999615443017	10.788948825768575	0.04795489188107077	0.018902716967771363	0.027632448005983537
overall	2482.0	5136.0	1321.0	1332.0	0.532232070910556	0.25934579439252337	0.3487519176111025
