chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	427.0	949.0	369.0	373.0	0.8641686182669789	0.39304531085353	0.5403335348570621
chr2	340.0	749.0	279.0	288.0	0.8205882352941176	0.38451268357810414	0.5236517199917886
chr3	287.0	672.0	232.0	233.0	0.8083623693379791	0.34672619047619047	0.48529682414992703
chr4	225.0	552.0	183.0	187.0	0.8133333333333334	0.338768115942029	0.4783110048850032
chr5	242.0	586.0	194.0	201.0	0.8016528925619835	0.3430034129692833	0.48044059485233426
chr6	292.0	669.0	240.0	251.0	0.821917808219178	0.375186846038864	0.5151976463746301
chr7	245.0	509.0	197.0	198.0	0.8040816326530612	0.3889980353634578	0.5243340973095044
chr8	211.0	556.0	178.0	184.0	0.8436018957345972	0.33093525179856115	0.4753831862517418
chr9	190.0	398.0	151.0	152.0	0.7947368421052632	0.38190954773869346	0.5159028074355458
chr10	189.0	461.0	161.0	167.0	0.8518518518518519	0.36225596529284165	0.5083377448385389
chr11	258.0	556.0	209.0	215.0	0.810077519379845	0.38669064748201437	0.5234922003331897
chr12	246.0	524.0	190.0	194.0	0.7723577235772358	0.3702290076335878	0.5005295890931805
chr13	99.0	270.0	79.0	80.0	0.797979797979798	0.2962962962962963	0.4321367521367522
chr14	157.0	342.0	126.0	129.0	0.802547770700637	0.37719298245614036	0.5131896755860763
chr15	142.0	329.0	116.0	119.0	0.8169014084507042	0.3617021276595745	0.5013984235952199
chr16	139.0	283.0	114.0	116.0	0.8201438848920863	0.4098939929328622	0.5466043896994999
chr17	156.0	393.0	122.0	123.0	0.782051282051282	0.31297709923664124	0.4470462060952721
chr18	96.0	238.0	71.0	76.0	0.7395833333333334	0.31932773109243695	0.44606100686120526
chr19	99.0	261.0	73.0	73.0	0.7373737373737373	0.2796934865900383	0.40555555555555556
chr20	123.0	271.0	101.0	102.0	0.8211382113821138	0.3763837638376384	0.5161710549389985
chr21	58.0	116.0	45.0	46.0	0.7758620689655172	0.39655172413793105	0.5248478701825557
chr22	79.0	171.0	62.0	63.0	0.7848101265822784	0.3684210526315789	0.5014442518775274
chrX	111.0	321.0	82.0	86.0	0.7387387387387387	0.26791277258566976	0.39321958291513326
average	191.7826086956522	442.4347826086956	155.3913043478261	158.95652173913044	0.8010374383811154	0.3551571323749549	0.49125590086157583
standard error	19.202885624078977	42.31613686383576	16.442225974057028	16.768533285323034	0.006938014264205769	0.008027097561506666	0.008628262049287747
overall	4411.0	10176.0	3574.0	3656.0	0.8102471094989798	0.35927672955974843	0.49781444706646116
