chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	3066.0	872.0	580.0	567.0	0.18917155903457272	0.6502293577981652	0.2930778341507061
chr2	2454.0	538.0	347.0	344.0	0.14140179299103506	0.6394052044609665	0.23158870925497302
chr3	1561.0	369.0	232.0	231.0	0.14862267777065982	0.6260162601626016	0.24021568851566227
chr4	1055.0	233.0	124.0	121.0	0.11753554502369669	0.51931330472103	0.19168684165138902
chr5	1309.0	377.0	226.0	222.0	0.17265087853323147	0.5888594164456233	0.26701436934539646
chr6	1719.0	478.0	308.0	304.0	0.179173938336242	0.6359832635983264	0.2795819647656017
chr7	1742.0	382.0	241.0	245.0	0.1383467278989667	0.6413612565445026	0.22759862157224028
chr8	1040.0	279.0	174.0	171.0	0.1673076923076923	0.6129032258064516	0.2628607776099228
chr10	1249.0	330.0	213.0	208.0	0.17053642914331466	0.6303030303030303	0.26844238704321954
chr11	1302.0	441.0	277.0	270.0	0.21274961597542244	0.6122448979591837	0.31577147417019746
chr12	1486.0	384.0	253.0	250.0	0.1702557200538358	0.6510416666666666	0.26992309858914504
chr13	965.0	101.0	67.0	64.0	0.0694300518134715	0.6336633663366337	0.125147751980971
chr14	1252.0	215.0	137.0	136.0	0.10942492012779553	0.6325581395348837	0.1865746744305978
chr15	970.0	260.0	177.0	175.0	0.1824742268041237	0.6730769230769231	0.2871112758956296
chr16	1194.0	334.0	205.0	202.0	0.17169179229480738	0.6047904191616766	0.26745635507559956
chr17	1540.0	345.0	260.0	256.0	0.16883116883116883	0.7420289855072464	0.27507542257304624
chr18	486.0	168.0	97.0	94.0	0.19958847736625515	0.5595238095238095	0.2942239432074863
chr19	844.0	184.0	124.0	124.0	0.14691943127962084	0.6739130434782609	0.2412451361867704
chr20	862.0	204.0	143.0	142.0	0.16589327146171692	0.696078431372549	0.2679315986699741
chr21	307.0	92.0	61.0	59.0	0.1986970684039088	0.6413043478260869	0.30339304531085354
chr22	524.0	181.0	128.0	127.0	0.24427480916030533	0.7016574585635359	0.3623879798475188
chrX	1356.0	189.0	101.0	99.0	0.07448377581120944	0.5238095238095238	0.130422022656571
average	1285.590909090909	316.1818181818182	203.4090909090909	200.5	0.1608846168374115	0.6313666060298945	0.2540332260228851
standard error	131.55627997651555	36.67398410043953	24.43780506532577	24.01278068786779	0.008867390416071971	0.0112521312174767	0.011977975848987632
overall	28283.0	6956.0	4475.0	4411.0	0.15822225365060283	0.6341288096607246	0.25325463425262407
