chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	846.0	941.0	458.0	446.0	0.541371158392435	0.47396386822529224	0.5054299549421374
chr2	629.0	739.0	323.0	323.0	0.5135135135135135	0.4370771312584574	0.4722222222222222
chr3	482.0	666.0	273.0	267.0	0.5663900414937759	0.4009009009009009	0.46948910187045917
chr4	311.0	551.0	184.0	184.0	0.5916398713826366	0.3339382940108893	0.42691415313225056
chr5	387.0	581.0	223.0	223.0	0.5762273901808785	0.3838209982788296	0.4607438016528925
chr6	522.0	660.0	292.0	292.0	0.5593869731800766	0.44242424242424244	0.49407783417935697
chr7	428.0	508.0	224.0	222.0	0.5233644859813084	0.43700787401574803	0.47630358990077004
chr8	345.0	550.0	186.0	185.0	0.5391304347826087	0.33636363636363636	0.4142663656884876
chr9	300.0	394.0	167.0	168.0	0.5566666666666666	0.4263959390862944	0.48289987779479854
chr10	376.0	454.0	195.0	190.0	0.5186170212765957	0.4185022026431718	0.46321185222229155
chr11	496.0	553.0	248.0	243.0	0.5	0.4394213381555154	0.46775745909528393
chr12	402.0	516.0	219.0	221.0	0.5447761194029851	0.42829457364341084	0.47956362771617966
chr13	175.0	266.0	84.0	85.0	0.48	0.31954887218045114	0.3836750047018996
chr14	267.0	338.0	146.0	146.0	0.5468164794007491	0.4319526627218935	0.48264462809917363
chr15	276.0	325.0	134.0	136.0	0.4855072463768116	0.41846153846153844	0.44949806378413043
chr16	328.0	281.0	132.0	133.0	0.4024390243902439	0.47330960854092524	0.43500669012339566
chr17	411.0	387.0	172.0	167.0	0.41849148418491483	0.4315245478036176	0.42490809979216126
chr18	184.0	237.0	93.0	100.0	0.5054347826086957	0.4219409282700422	0.4599292796914023
chr19	299.0	259.0	115.0	109.0	0.38461538461538464	0.42084942084942084	0.40191740412979354
chr20	246.0	270.0	129.0	128.0	0.524390243902439	0.4740740740740741	0.49796435356916674
chr21	74.0	115.0	45.0	47.0	0.6081081081081081	0.40869565217391307	0.4888477984514041
chr22	228.0	170.0	81.0	81.0	0.35526315789473684	0.4764705882352941	0.4070351758793969
chrX	155.0	318.0	75.0	78.0	0.4838709677419355	0.24528301886792453	0.325542570951586
average	355.0869565217391	438.2173913043478	182.52173913043478	181.47826086956522	0.5098269806729349	0.4121835613558906	0.45086299606915825
standard error	35.10902911037325	41.88875520159187	19.75430803719855	19.242047745589527	0.013720358799253566	0.011689049008092	0.008980712986510894
overall	8167.0	10079.0	4198.0	4174.0	0.5140198359250643	0.41412838575255484	0.4586987292001252
