chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	809.0	949.0	426.0	423.0	0.5265760197775031	0.4457323498419389	0.48279326600409117
chr2	570.0	749.0	281.0	286.0	0.49298245614035086	0.3818424566088118	0.4303527011505024
chr3	481.0	672.0	259.0	258.0	0.5384615384615384	0.38392857142857145	0.44825018615040957
chr4	265.0	552.0	170.0	170.0	0.6415094339622641	0.3079710144927536	0.41615667074663404
chr5	371.0	586.0	206.0	210.0	0.555256064690027	0.3583617747440273	0.43559252061663634
chr6	464.0	669.0	252.0	254.0	0.5431034482758621	0.3796711509715994	0.44691458016226565
chr7	346.0	509.0	198.0	198.0	0.5722543352601156	0.3889980353634578	0.4631578947368421
chr8	323.0	556.0	185.0	188.0	0.5727554179566563	0.3381294964028777	0.4252249608763693
chr9	303.0	398.0	156.0	159.0	0.5148514851485149	0.39949748743718594	0.4498979730648891
chr10	355.0	461.0	162.0	167.0	0.4563380281690141	0.36225596529284165	0.4038905103495637
chr11	501.0	556.0	271.0	271.0	0.5409181636726547	0.48741007194244607	0.5127719962157049
chr12	392.0	524.0	213.0	212.0	0.5433673469387755	0.40458015267175573	0.463813964954087
chr13	142.0	270.0	77.0	77.0	0.5422535211267606	0.2851851851851852	0.37378640776699035
chr14	264.0	342.0	143.0	146.0	0.5416666666666666	0.4269005847953216	0.4774842767295598
chr15	264.0	329.0	130.0	134.0	0.49242424242424243	0.4072948328267477	0.44583216031530726
chr16	322.0	283.0	145.0	145.0	0.4503105590062112	0.5123674911660777	0.4793388429752066
chr17	383.0	393.0	182.0	185.0	0.4751958224543081	0.4707379134860051	0.4729563635597446
chr18	142.0	238.0	82.0	85.0	0.5774647887323944	0.35714285714285715	0.44133476856835313
chr19	265.0	261.0	111.0	110.0	0.4188679245283019	0.421455938697318	0.4201579463532975
chr20	234.0	271.0	132.0	131.0	0.5641025641025641	0.4833948339483395	0.5206395086261404
chr21	77.0	116.0	44.0	43.0	0.5714285714285714	0.3706896551724138	0.44967320261437915
chr22	186.0	171.0	87.0	85.0	0.46774193548387094	0.49707602339181284	0.4819630462410793
chrX	149.0	321.0	74.0	77.0	0.4966442953020134	0.2398753894080997	0.3235018593692338
average	330.7826086956522	442.4347826086956	173.30434782608697	174.52173913043478	0.525933679552573	0.3961086622790629	0.4463254612237951
standard error	33.90447849681899	42.31613686383576	17.96256920435878	17.9105009899869	0.010651455850398185	0.014249817700767222	0.008947441643550453
overall	7608.0	10176.0	3986.0	4014.0	0.5239221871713985	0.3944575471698113	0.4500645062855654
