chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	7945.0	1220.0	731.0	711.0	0.09200755191944619	0.5827868852459016	0.15892482702579153
chr2	8889.0	796.0	353.0	348.0	0.039712003599955	0.4371859296482412	0.07281025142545548
chr3	7305.0	670.0	264.0	257.0	0.036139630390143736	0.3835820895522388	0.06605574256485895
chr4	7127.0	341.0	132.0	131.0	0.01852111687947243	0.3841642228739003	0.035338512582141296
chr5	6278.0	592.0	252.0	248.0	0.040140172029308696	0.4189189189189189	0.07326062288409779
chr6	5629.0	796.0	333.0	336.0	0.059157932137146915	0.4221105527638191	0.10377237744920728
chr7	5300.0	621.0	288.0	288.0	0.05433962264150943	0.463768115942029	0.0972808647187975
chr8	5241.0	446.0	203.0	199.0	0.038733066208738794	0.4461883408071749	0.07127853007109856
chr10	4629.0	530.0	229.0	227.0	0.04947072801901058	0.42830188679245285	0.0886966121316927
chr11	4879.0	671.0	292.0	285.0	0.05984832957573273	0.4247391952309985	0.10491368447858641
chr12	5013.0	590.0	268.0	265.0	0.05346100139636944	0.4491525423728814	0.09554913508659225
chr13	4079.0	131.0	49.0	48.0	0.01201274822260358	0.366412213740458	0.023262829420753566
chr14	3869.0	276.0	97.0	99.0	0.02507107779788059	0.358695652173913	0.04686642118286103
chr15	3017.0	398.0	192.0	189.0	0.06363937686443487	0.4748743718592965	0.112237465378138
chr16	2820.0	429.0	202.0	199.0	0.07163120567375887	0.46386946386946387	0.12409892596605944
chr17	3183.0	626.0	328.0	322.0	0.10304743952246309	0.5143769968051118	0.1716978770237691
chr18	2732.0	188.0	78.0	75.0	0.02855051244509517	0.39893617021276595	0.05328742416789638
chr19	2490.0	594.0	323.0	323.0	0.12971887550200803	0.5437710437710438	0.20946822308690013
chr20	2125.0	331.0	168.0	164.0	0.07905882352941176	0.4954682779456193	0.13635958704108803
chr21	1180.0	142.0	72.0	70.0	0.061016949152542375	0.49295774647887325	0.10859260536068258
chr22	1336.0	248.0	152.0	148.0	0.11377245508982035	0.5967741935483871	0.1911105070001359
chrX	6402.0	251.0	79.0	80.0	0.012339893783192753	0.3187250996015936	0.023759889772156945
average	4612.181818181818	494.8636363636364	231.13636363636363	227.8181818181818	0.05642684147182023	0.44844363227977657	0.09857376890085277
standard error	456.9357786222523	55.39239384915607	31.176935048590106	30.475995547389203	0.0068026531815489075	0.014997434828624808	0.010959489338332495
overall	101468.0	10887.0	5085.0	5012.0	0.05011432175661292	0.46036557361991365	0.09038909736117651
