chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	5.0	872.0	5.0	5.0	1.0	0.005733944954128441	0.011402508551881416
chr2	1.0	538.0	1.0	1.0	1.0	0.0018587360594795538	0.0037105751391465678
chr3	0.0	369.0	0.0	0.0	0.0	0.0	0.0
chr4	0.0	233.0	0.0	0.0	0.0	0.0	0.0
chr5	0.0	377.0	0.0	0.0	0.0	0.0	0.0
chr6	1.0	478.0	0.0	0.0	0.0	0.0	0.0
chr7	1.0	382.0	0.0	0.0	0.0	0.0	0.0
chr8	1.0	279.0	1.0	1.0	1.0	0.0035842293906810036	0.007142857142857143
chr10	1.0	330.0	1.0	1.0	1.0	0.0030303030303030303	0.006042296072507553
chr11	1.0	441.0	1.0	1.0	1.0	0.0022675736961451248	0.004524886877828055
chr12	0.0	384.0	0.0	0.0	0.0	0.0	0.0
chr13	0.0	101.0	0.0	0.0	0.0	0.0	0.0
chr14	0.0	215.0	0.0	0.0	0.0	0.0	0.0
chr15	0.0	260.0	0.0	0.0	0.0	0.0	0.0
chr16	0.0	334.0	0.0	0.0	0.0	0.0	0.0
chr17	1.0	345.0	1.0	1.0	1.0	0.002898550724637681	0.005780346820809248
chr18	0.0	168.0	0.0	0.0	0.0	0.0	0.0
chr19	0.0	184.0	0.0	0.0	0.0	0.0	0.0
chr20	2.0	204.0	2.0	2.0	1.0	0.00980392156862745	0.019417475728155338
chr21	0.0	92.0	0.0	0.0	0.0	0.0	0.0
chr22	3.0	181.0	3.0	3.0	1.0	0.016574585635359115	0.03260869565217391
chrX	0.0	189.0	0.0	0.0	0.0	0.0	0.0
average	0.7727272727272727	316.1818181818182	0.6818181818181818	0.6818181818181818	0.36363636363636365	0.0020796293208800638	0.004119529181152693
standard error	0.2626193250276925	36.67398410043953	0.2663393307764689	0.2663393307764689	0.10497277621629558	0.0008673900203060519	0.0017108112241933356
overall	17.0	6956.0	15.0	15.0	0.8823529411764706	0.002156411730879816	0.004302308905779435
