chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	4463.0	1220.0	806.0	790.0	0.18059601165135558	0.6475409836065574	0.28242505694053566
chr2	3495.0	796.0	408.0	408.0	0.1167381974248927	0.5125628140703518	0.19016546259613143
chr3	2619.0	670.0	312.0	302.0	0.11912943871706758	0.4507462686567164	0.1884521459472108
chr4	2108.0	341.0	163.0	159.0	0.07732447817836813	0.4662756598240469	0.13265089378254918
chr5	2510.0	592.0	303.0	291.0	0.12071713147410358	0.49155405405405406	0.19383239575020939
chr6	2730.0	796.0	408.0	404.0	0.14945054945054945	0.507537688442211	0.23090759325566929
chr7	2527.0	621.0	325.0	320.0	0.12861100118717847	0.5152979066022544	0.20584582345751706
chr8	1989.0	446.0	232.0	227.0	0.11664152840623429	0.5089686098654709	0.18978872922203702
chr10	2128.0	530.0	265.0	264.0	0.12453007518796992	0.4981132075471698	0.19924755283791057
chr11	2119.0	671.0	371.0	358.0	0.1750825861255309	0.533532041728763	0.2636473083530926
chr12	2103.0	590.0	309.0	303.0	0.14693295292439373	0.5135593220338983	0.22849256698136347
chr13	1022.0	131.0	54.0	51.0	0.05283757338551859	0.3893129770992366	0.0930468274883438
chr14	1275.0	276.0	129.0	128.0	0.1011764705882353	0.463768115942029	0.16611335788012313
chr15	1541.0	398.0	235.0	231.0	0.15249837767683322	0.5804020100502513	0.24153450159176507
chr16	1708.0	429.0	269.0	252.0	0.15749414519906324	0.5874125874125874	0.24839094421756744
chr17	1778.0	626.0	353.0	346.0	0.19853768278965128	0.5527156549520766	0.2921381639530906
chr18	1025.0	188.0	87.0	85.0	0.08487804878048781	0.4521276595744681	0.14292478812535633
chr19	1566.0	594.0	356.0	352.0	0.227330779054917	0.5925925925925926	0.3286027460482289
chr20	1106.0	331.0	206.0	199.0	0.18625678119349007	0.6012084592145015	0.28440405161648397
chr21	526.0	142.0	79.0	75.0	0.15019011406844107	0.528169014084507	0.23387542433093864
chr22	848.0	248.0	159.0	152.0	0.1875	0.6129032258064516	0.2871536523929471
chrX	2204.0	251.0	96.0	96.0	0.043557168784029036	0.38247011952191234	0.07820773930753563
average	1972.2727272727273	494.8636363636364	269.3181818181818	263.3181818181818	0.1362732314658323	0.5176714078491869	0.2137203511853003
standard error	192.37780944358542	55.39239384915607	34.647350577022245	34.105222103577574	0.010017473831999432	0.0146595328178973	0.01388371734887527
overall	43390.0	10887.0	5925.0	5793.0	0.13655220096796497	0.5321025075778452	0.21733121032931466
