chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	3147.0	1331.0	913.0	905.0	0.2901175722910709	0.6799398948159279	0.40670273314041666
chr2	3061.0	1183.0	829.0	820.0	0.27082652727866713	0.6931530008453085	0.38947760738665615
chr3	2366.0	942.0	654.0	644.0	0.2764158918005072	0.6836518046709129	0.3936643717181083
chr4	1731.0	727.0	508.0	501.0	0.29347198151357595	0.6891334250343879	0.4116430673480264
chr5	2113.0	819.0	576.0	575.0	0.2725982016090866	0.702075702075702	0.39271508769391933
chr6	2061.0	919.0	632.0	629.0	0.3066472586123241	0.6844396082698585	0.4235381106842882
chr7	2113.0	782.0	561.0	556.0	0.26549929010885	0.710997442455243	0.386625597292892
chr8	1619.0	708.0	482.0	477.0	0.29771463866584313	0.673728813559322	0.41295029541480666
chr9	1251.0	524.0	374.0	366.0	0.29896083133493206	0.6984732824427481	0.41870666001878126
chr10	1661.0	605.0	434.0	434.0	0.26128838049367853	0.7173553719008264	0.383053839364519
chr11	1588.0	702.0	468.0	473.0	0.2947103274559194	0.6737891737891738	0.4100624270603709
chr12	1885.0	794.0	539.0	542.0	0.28594164456233423	0.6826196473551638	0.40305014500191777
chr13	867.0	389.0	255.0	250.0	0.29411764705882354	0.6426735218508998	0.4035512510088782
chr14	1195.0	490.0	350.0	344.0	0.2928870292887029	0.7020408163265306	0.41333379106732115
chr15	1155.0	520.0	353.0	349.0	0.30562770562770564	0.6711538461538461	0.4199981249627123
chr16	1189.0	418.0	320.0	315.0	0.2691337258200168	0.7535885167464115	0.3966200729891107
chr17	1278.0	551.0	382.0	377.0	0.29890453834115804	0.6842105263157895	0.4160522788203753
chr18	907.0	366.0	248.0	243.0	0.27342888643880925	0.6639344262295082	0.38733935578415585
chr19	1109.0	444.0	306.0	301.0	0.27592425608656446	0.6779279279279279	0.3922133058532213
chr20	778.0	412.0	259.0	258.0	0.3329048843187661	0.6262135922330098	0.4347107653074501
chr21	340.0	144.0	96.0	98.0	0.2823529411764706	0.6805555555555556	0.39911759714916006
chr22	524.0	263.0	173.0	172.0	0.3301526717557252	0.6539923954372624	0.43879168602122
chrX	844.0	397.0	240.0	232.0	0.2843601895734597	0.5843828715365239	0.38256472269554226
average	1512.2608695652175	627.3913043478261	432.69565217391306	428.7391304347826	0.28930378353099956	0.6795665723272973	0.40506447364277615
standard error	152.62246708805583	59.87690730309588	42.07674311770946	41.828712333272954	0.0038592894265148787	0.006875488882842072	0.003308134321400401
overall	34782.0	14430.0	9952.0	9861.0	0.2861250071876258	0.6833679833679833	0.4033627288855416
