chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	2758.0	872.0	575.0	565.0	0.2084844089920232	0.6479357798165137	0.31546315671928027
chr2	2175.0	538.0	330.0	333.0	0.15172413793103448	0.6189591078066915	0.24370852114901614
chr3	1253.0	369.0	219.0	213.0	0.174780526735834	0.5772357723577236	0.26831751509922347
chr4	744.0	233.0	114.0	112.0	0.1532258064516129	0.48068669527896996	0.23237783237783238
chr5	1172.0	377.0	220.0	220.0	0.18771331058020477	0.583554376657825	0.28405422853453843
chr6	1558.0	478.0	304.0	303.0	0.1951219512195122	0.6338912133891214	0.2983935495783837
chr7	1576.0	382.0	247.0	251.0	0.1567258883248731	0.6570680628272252	0.2530851346110669
chr8	891.0	279.0	173.0	170.0	0.1941638608305275	0.6093189964157706	0.29448725073471615
chr10	1213.0	330.0	217.0	212.0	0.17889530090684255	0.6424242424242425	0.2798586228502948
chr11	1263.0	441.0	272.0	267.0	0.21536025336500395	0.6054421768707483	0.31770905105944575
chr12	1300.0	384.0	253.0	245.0	0.1946153846153846	0.6380208333333334	0.29825430889301624
chr13	660.0	101.0	61.0	60.0	0.09242424242424242	0.594059405940594	0.15996153930202572
chr14	914.0	215.0	121.0	119.0	0.1323851203501094	0.5534883720930233	0.21366513084188424
chr15	879.0	260.0	161.0	162.0	0.1831626848691695	0.6230769230769231	0.28310304030218497
chr16	1106.0	334.0	208.0	204.0	0.18806509945750452	0.6107784431137725	0.28758099059289177
chr17	1345.0	345.0	248.0	245.0	0.18438661710037174	0.7101449275362319	0.2927593143573003
chr18	394.0	168.0	90.0	90.0	0.22842639593908629	0.5357142857142857	0.32028469750889677
chr19	684.0	184.0	128.0	129.0	0.1871345029239766	0.7010869565217391	0.2954163237556804
chr20	743.0	204.0	140.0	139.0	0.18842530282637954	0.6813725490196079	0.29521302820907636
chr21	248.0	92.0	59.0	60.0	0.23790322580645162	0.6521739130434783	0.34863108134725235
chr22	548.0	181.0	132.0	129.0	0.24087591240875914	0.712707182320442	0.36006089824917537
chrX	1675.0	189.0	101.0	100.0	0.060298507462686564	0.5291005291005291	0.10825932932809543
average	1140.8636363636363	316.1818181818182	198.77272727272728	196.72727272727272	0.17883174734189047	0.618101852029945	0.2750292975182399
standard error	123.79123425062214	36.67398410043953	24.278589771459757	23.945661955469834	0.009153063105177587	0.012710878303809925	0.012240906253167112
overall	25099.0	6956.0	4373.0	4328.0	0.1742300490059365	0.6221966647498562	0.27222933012751227
