chromosome	MSE	SSIM	PSNR
chr1	0.00022762799787412455	0.8874756823276577	36.42774130684194
chr2	0.00029252644958628675	0.8940577099685563	35.33834711408942
chr3	0.00030478861534028335	0.8935983975826778	35.16001116584964
chr4	0.0003664267792040132	0.900279672253355	34.3601267621102
chr5	0.00028738864807769656	0.8940963678295499	35.415302394844225
chr6	0.000259839465175131	0.8844774761596809	35.85294719202309
chr7	0.0002501373708471003	0.8859125499762062	36.01821245641818
chr8	0.0002851387988867777	0.8970843975731995	35.44943531832912
chr10	0.00026214293754892867	0.8938654266706797	35.81461672545854
chr11	0.0002593202077497072	0.8914575867754418	35.86163471667621
chr12	0.00027412785195607056	0.8941335833212256	35.620466785745045
chr13	0.00033272671115295644	0.9119159814051694	34.77912202237173
chr14	0.0003311436663526892	0.9114737795318998	34.79983415957906
chr15	0.00020489358100321293	0.9042806662688657	36.884714351944766
chr16	0.00023750779818578014	0.8952726858635353	36.24321943590832
chr17	0.00027694555012349186	0.8917530019543553	35.57605451756511
chr18	0.0003403488253267215	0.8984015661296285	34.680756163695385
chr19	0.0002555092350737354	0.8898623182747848	35.92593228222221
chr20	0.00025671567060997	0.8934721319536241	35.90547450851328
chr21	0.00024039286304276895	0.9044712583765302	36.19078249466406
chr22	0.00023896435737862627	0.8954233618963476	36.21666689479561
chrX	0.00034118535517387716	0.9089389747952971	34.67009491198435
average	0.0002784453970759068	0.896441117131285	35.59961334916498
standard error	9.03609566691148e-06	0.0016339668268915593	0.13889305834424492
