chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	294.0	949.0	255.0	257.0	0.8673469387755102	0.2708113804004215	0.41274999763818954
chr2	226.0	749.0	196.0	202.0	0.8672566371681416	0.2696929238985314	0.41143949785925094
chr3	206.0	672.0	171.0	174.0	0.8300970873786407	0.25892857142857145	0.3947305579877418
chr4	149.0	552.0	126.0	130.0	0.8456375838926175	0.23550724637681159	0.36841276624457386
chr5	172.0	586.0	144.0	149.0	0.8372093023255814	0.25426621160409557	0.3900665381958332
chr6	189.0	669.0	162.0	168.0	0.8571428571428571	0.25112107623318386	0.38843930635838153
chr7	155.0	509.0	141.0	142.0	0.9096774193548387	0.27897838899803534	0.4270039134561042
chr8	151.0	556.0	130.0	133.0	0.8609271523178808	0.2392086330935252	0.37439234325433346
chr9	136.0	398.0	110.0	113.0	0.8088235294117647	0.28391959798994976	0.4203016162845743
chr10	127.0	461.0	114.0	116.0	0.8976377952755905	0.25162689804772237	0.3930683946140357
chr11	178.0	556.0	153.0	157.0	0.8595505617977528	0.2823741007194245	0.42509777549684113
chr12	165.0	524.0	138.0	140.0	0.8363636363636363	0.26717557251908397	0.4049805055967802
chr13	74.0	270.0	63.0	64.0	0.8513513513513513	0.23703703703703705	0.3708268187252828
chr14	94.0	342.0	82.0	83.0	0.8723404255319149	0.24269005847953215	0.3797355353456452
chr15	84.0	329.0	77.0	79.0	0.9166666666666666	0.24012158054711247	0.3805561637836654
chr16	88.0	283.0	73.0	76.0	0.8295454545454546	0.26855123674911663	0.40574834533952536
chr17	78.0	393.0	73.0	75.0	0.9358974358974359	0.19083969465648856	0.3170329193086077
chr18	67.0	238.0	53.0	59.0	0.7910447761194029	0.24789915966386555	0.3774974346592624
chr19	50.0	261.0	44.0	44.0	0.88	0.1685823754789272	0.2829581993569132
chr20	77.0	271.0	66.0	67.0	0.8571428571428571	0.24723247232472326	0.3837708830548926
chr21	43.0	116.0	33.0	33.0	0.7674418604651163	0.28448275862068967	0.4150943396226415
chr22	44.0	171.0	39.0	38.0	0.8863636363636364	0.2222222222222222	0.35535307517084286
chrX	69.0	321.0	54.0	57.0	0.782608695652174	0.17757009345794392	0.28946254760897167
average	126.78260869565217	442.4347826086956	108.56521739130434	111.1304347826087	0.8542640722148185	0.24655823002378324	0.38124867282447356
standard error	13.685911587294925	42.31613686383576	11.819429653741722	12.01502753847451	0.00873203699565521	0.006641729971034885	0.008128011129792532
overall	2916.0	10176.0	2497.0	2556.0	0.8563100137174211	0.2511792452830189	0.3884232758482183
