chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	3115.0	1331.0	830.0	827.0	0.2664526484751204	0.6213373403456048	0.37296428663604864
chr2	3533.0	1183.0	795.0	781.0	0.22502122841777525	0.6601859678782755	0.33564087164619955
chr3	2345.0	942.0	574.0	570.0	0.24477611940298508	0.6050955414012739	0.34855365891854406
chr4	1896.0	727.0	443.0	438.0	0.23364978902953587	0.6024759284731774	0.3367158087268733
chr5	2259.0	819.0	541.0	534.0	0.23948649845064188	0.652014652014652	0.3503051137242063
chr6	2096.0	919.0	579.0	575.0	0.2762404580152672	0.6256800870511425	0.3832669180527727
chr7	2165.0	782.0	522.0	515.0	0.24110854503464202	0.6585677749360613	0.3529854337540105
chr8	1724.0	708.0	474.0	468.0	0.27494199535962877	0.6610169491525424	0.38835318585743994
chr9	1535.0	524.0	353.0	346.0	0.22996742671009773	0.6603053435114504	0.3411285299728244
chr10	1754.0	605.0	407.0	408.0	0.23204104903078676	0.6743801652892562	0.34527850524032944
chr11	1672.0	702.0	441.0	438.0	0.263755980861244	0.6239316239316239	0.3707738996734868
chr12	1761.0	794.0	481.0	482.0	0.2731402612152186	0.6070528967254408	0.3767595448503148
chr13	946.0	389.0	232.0	230.0	0.2452431289640592	0.5912596401028277	0.3466871109840561
chr14	1287.0	490.0	316.0	311.0	0.24553224553224554	0.6346938775510204	0.3540858624708835
chr15	1199.0	520.0	329.0	328.0	0.274395329441201	0.6307692307692307	0.38242798820594237
chr16	1257.0	418.0	295.0	289.0	0.2346857597454256	0.6913875598086124	0.35042325769704236
chr17	1266.0	551.0	350.0	348.0	0.2764612954186414	0.631578947368421	0.38458016665140554
chr18	1050.0	366.0	231.0	227.0	0.22	0.6202185792349727	0.32479188345473464
chr19	1191.0	444.0	285.0	281.0	0.23929471032745592	0.6328828828828829	0.34728139615056886
chr20	838.0	412.0	270.0	266.0	0.3221957040572792	0.6456310679611651	0.42986939918838357
chr21	556.0	144.0	94.0	96.0	0.16906474820143885	0.6666666666666666	0.26972740315638455
chr22	554.0	263.0	171.0	168.0	0.30866425992779783	0.6387832699619772	0.4162121047484516
chrX	1219.0	397.0	229.0	226.0	0.1878589007383101	0.5692695214105793	0.28249460299612184
average	1618.1739130434783	627.3913043478261	401.82608695652175	397.9130434782609	0.24886861227638252	0.6350080658447329	0.35614377968508804
standard error	154.2291254307117	59.87690730309588	38.33504532789999	38.00623586464106	0.007135252564299933	0.006009302969425358	0.007512981304943876
overall	37218.0	14430.0	9242.0	9152.0	0.248320705035198	0.6342342342342342	0.3569035426460251
