chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	406.0	669.0	175.0	175.0	0.43103448275862066	0.2615844544095665	0.3255813953488372
chr2	791.0	356.0	64.0	64.0	0.08091024020227561	0.1797752808988764	0.11159546643417612
chr3	601.0	345.0	66.0	66.0	0.10981697171381032	0.19130434782608696	0.13953488372093023
chr4	1157.0	214.0	39.0	41.0	0.033707865168539325	0.19158878504672897	0.057329293870892556
chr5	561.0	257.0	44.0	44.0	0.0784313725490196	0.17120622568093385	0.1075794621026895
chr6	176.0	346.0	48.0	48.0	0.2727272727272727	0.13872832369942195	0.1839080459770115
chr7	300.0	271.0	61.0	61.0	0.20333333333333334	0.22509225092250923	0.21366024518388793
chr8	470.0	203.0	32.0	33.0	0.06808510638297872	0.1625615763546798	0.09597382532036718
chr10	335.0	256.0	46.0	47.0	0.1373134328358209	0.18359375	0.15711638385233095
chr11	221.0	348.0	61.0	62.0	0.27601809954751133	0.1781609195402299	0.2165473804752362
chr12	232.0	244.0	41.0	41.0	0.17672413793103448	0.1680327868852459	0.1722689075630252
chr13	732.0	65.0	13.0	12.0	0.017759562841530054	0.18461538461538463	0.03240211860006231
chr14	421.0	131.0	29.0	29.0	0.0688836104513064	0.22137404580152673	0.10507246376811594
chr15	160.0	184.0	38.0	39.0	0.2375	0.21195652173913043	0.22400241837968562
chr16	210.0	182.0	39.0	38.0	0.18571428571428572	0.2087912087912088	0.19657779546358933
chr17	195.0	279.0	58.0	58.0	0.29743589743589743	0.2078853046594982	0.24472573839662448
chr18	311.0	84.0	15.0	14.0	0.04823151125401929	0.16666666666666666	0.07481296758104738
chr19	86.0	229.0	48.0	48.0	0.5581395348837209	0.2096069868995633	0.30476190476190473
chr20	62.0	173.0	34.0	34.0	0.5483870967741935	0.19653179190751446	0.28936170212765955
chr21	30.0	60.0	9.0	9.0	0.3	0.15	0.2
chr22	91.0	108.0	25.0	25.0	0.27472527472527475	0.23148148148148148	0.25125628140703515
chrX	1569.0	132.0	38.0	35.0	0.024219247928616953	0.26515151515151514	0.04438437536500309
average	414.40909090909093	233.45454545454547	46.5	46.5	0.20132265168904828	0.19571316404444403	0.17038422980455056
standard error	80.3587642496793	28.490427288267956	7.0104282248735625	7.036315815804479	0.033924378246195604	0.006940301866509906	0.018147760006910634
overall	9117.0	5136.0	1023.0	1023.0	0.11220796314577164	0.1991822429906542	0.14354872658387707
