chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	8687.0	2204.0	1368.0	1314.0	0.15747668930585934	0.5961887477313974	0.2491445821456861
chr2	8240.0	1782.0	1071.0	1027.0	0.1299757281553398	0.5763187429854096	0.21211393074651802
chr3	7155.0	1487.0	949.0	892.0	0.1326345213137666	0.5998655010087425	0.21723650827114094
chr4	5962.0	1077.0	627.0	605.0	0.10516605166051661	0.5617455896007428	0.17716459585049024
chr5	6070.0	1298.0	808.0	763.0	0.13311367380560132	0.5878274268104776	0.2170714591790351
chr6	6136.0	1433.0	864.0	828.0	0.1408083441981747	0.5778087927424983	0.22643573381950777
chr7	5364.0	1148.0	698.0	663.0	0.13012677106636839	0.5775261324041812	0.21239681331804675
chr8	4982.0	1098.0	676.0	643.0	0.13568847852268165	0.5856102003642987	0.22032636249218765
chr9	4069.0	868.0	580.0	558.0	0.14254116490538216	0.6428571428571429	0.23334301870767304
chr10	4740.0	1048.0	629.0	602.0	0.13270042194092826	0.5744274809160306	0.21559542137723076
chr11	5013.0	1273.0	798.0	770.0	0.15918611609814481	0.6048703849175177	0.25204148434000617
chr12	5149.0	1205.0	762.0	728.0	0.1479899009516411	0.604149377593361	0.23774321884370953
chr13	3106.0	569.0	328.0	308.0	0.1056020605280103	0.5413005272407733	0.17672661115387306
chr14	3214.0	775.0	467.0	455.0	0.14530180460485376	0.5870967741935483	0.23295026297830118
chr15	3142.0	793.0	510.0	477.0	0.16231699554423934	0.6015132408575031	0.2556479630762246
chr16	2832.0	712.0	396.0	383.0	0.13983050847457626	0.5379213483146067	0.22196269888658635
chr17	3415.0	1056.0	628.0	598.0	0.18389458272327966	0.5662878787878788	0.2776318522861099
chr18	2493.0	522.0	331.0	311.0	0.1327717609306057	0.5957854406130269	0.2171510539444471
chr19	2782.0	897.0	502.0	488.0	0.18044572250179727	0.5440356744704571	0.27100464071773483
chr20	2387.0	638.0	390.0	378.0	0.16338500209467952	0.5924764890282131	0.2561362724197424
chr21	1176.0	279.0	155.0	149.0	0.13180272108843538	0.5340501792114696	0.21142587735559737
chr22	1614.0	473.0	283.0	264.0	0.17534076827757125	0.5581395348837209	0.2668500147333268
chrX	4225.0	727.0	333.0	328.0	0.07881656804733728	0.4511691884456671	0.13419080270116365
average	4432.739130434783	1015.7391304347826	615.3478260869565	588.3478260869565	0.14117027637999088	0.5738683389555941	0.22575179040627558
standard error	416.9044507046632	92.72099372545567	59.00772404372803	56.405071138865196	0.005113066594098218	0.0077358318331867855	0.006861626775477635
overall	101953.0	23362.0	14153.0	13532.0	0.13881886751738545	0.5792312302028936	0.22396271141179122
