chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	222.0	671.0	139.0	141.0	0.6261261261261262	0.21013412816691504	0.3146639265960777
chr2	106.0	354.0	42.0	42.0	0.39622641509433965	0.11864406779661017	0.1826086956521739
chr3	93.0	343.0	31.0	31.0	0.3333333333333333	0.09037900874635568	0.14220183486238533
chr4	71.0	214.0	20.0	21.0	0.28169014084507044	0.09813084112149532	0.14555536302200658
chr5	72.0	257.0	29.0	29.0	0.4027777777777778	0.11284046692607004	0.1762917933130699
chr6	111.0	347.0	48.0	47.0	0.43243243243243246	0.13544668587896252	0.20628171718557123
chr7	97.0	272.0	54.0	54.0	0.5567010309278351	0.19852941176470587	0.2926829268292683
chr8	51.0	207.0	14.0	13.0	0.27450980392156865	0.06280193236714976	0.10221847795563044
chr10	66.0	258.0	36.0	36.0	0.5454545454545454	0.13953488372093023	0.2222222222222222
chr11	97.0	353.0	49.0	49.0	0.5051546391752577	0.1388101983002833	0.2177777777777778
chr12	77.0	242.0	30.0	31.0	0.38961038961038963	0.128099173553719	0.19280605369544934
chr13	78.0	64.0	2.0	2.0	0.02564102564102564	0.03125	0.028169014084507043
chr14	54.0	129.0	13.0	13.0	0.24074074074074073	0.10077519379844961	0.14207650273224043
chr15	49.0	189.0	33.0	34.0	0.673469387755102	0.17989417989417988	0.2839428065291661
chr16	62.0	182.0	29.0	29.0	0.46774193548387094	0.15934065934065933	0.23770491803278684
chr17	78.0	276.0	52.0	52.0	0.6666666666666666	0.18840579710144928	0.2937853107344633
chr18	22.0	83.0	5.0	5.0	0.22727272727272727	0.060240963855421686	0.09523809523809523
chr19	58.0	230.0	43.0	43.0	0.7413793103448276	0.18695652173913044	0.29861111111111116
chr20	56.0	171.0	28.0	28.0	0.5	0.16374269005847952	0.24669603524229072
chr21	27.0	59.0	7.0	7.0	0.25925925925925924	0.11864406779661017	0.1627906976744186
chr22	105.0	112.0	32.0	32.0	0.3047619047619048	0.2857142857142857	0.29493087557603687
chrX	69.0	129.0	4.0	4.0	0.057971014492753624	0.031007751937984496	0.04040404040404041
average	78.22727272727273	233.72727272727272	33.63636363636363	33.77272727272727	0.40495093668716164	0.13360558679908396	0.19634819074867227
standard error	8.530295341126688	28.590948664450686	6.0594262920984745	6.131295004620763	0.0405846100189781	0.01310542589064595	0.017896286970510083
overall	1721.0	5142.0	740.0	743.0	0.4299825682742591	0.14449630493971216	0.21630348895694407
