chromosome	MSE	SSIM	PSNR
chr1	0.0006580493496265949	0.8433734193445285	31.817414697704848
chr2	0.0004641933488180153	0.8426686256583596	33.333009930534374
chr3	0.0004414147054064105	0.8418741494921376	33.55153104345018
chr4	0.00028358104377099316	0.8555797646439112	35.47322650176076
chr5	0.0003847060560485987	0.8444248769240141	34.14870864079081
chr6	0.00048369454157393734	0.8411249643120897	33.15428723750186
chr7	0.0004372031708462271	0.8442132854526337	33.593165976254596
chr8	0.0003918053057629494	0.8471415032695335	34.06929576312636
chr9	0.00047241681534800523	0.8607047209462668	33.256745604429916
chr10	0.000585989104626484	0.8384023221855821	32.32110384688963
chr11	0.0007501730274095221	0.8311095515501135	31.24838497139159
chr12	0.0006198124094346222	0.8370624692669945	32.07739662811799
chr13	0.00031152388750265586	0.8644796439818149	35.065085068252095
chr14	0.0005368875004889901	0.8539758296434332	32.7011662602632
chr15	0.0006494275247970266	0.8561773065217317	31.874692416697595
chr16	0.0008905214462144978	0.8401933226700136	30.50355568296347
chr17	0.0016232662979557457	0.8227089667707725	27.896102012654794
chr18	0.0004562610836107419	0.848968421488797	33.40786477229372
chr19	0.001598578497121056	0.820990323797474	27.96266005962943
chr20	0.0010453720280121808	0.830720897465777	29.807290833581046
chr21	0.0004999387131756646	0.8691945449077338	33.01083145116442
chr22	0.0015004518945948592	0.8540853694824088	28.237778948183113
chrX	0.0002902729771761477	0.8627832478071016	35.37193243107548
average	0.0006685017708400838	0.8457372838079662	32.342749164291796
standard error	8.390606007707021e-05	0.0026558784016907644	0.46032586282845633
