chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	598.0	941.0	440.0	435.0	0.7357859531772575	0.4622741764080765	0.5678093062580655
chr2	413.0	739.0	283.0	288.0	0.6852300242130751	0.38971583220568334	0.496852911323728
chr3	394.0	666.0	268.0	270.0	0.6802030456852792	0.40540540540540543	0.5080247693668647
chr4	231.0	551.0	167.0	165.0	0.7229437229437229	0.29945553539019965	0.4234930685765223
chr5	261.0	581.0	201.0	203.0	0.7701149425287356	0.3493975903614458	0.4807026224641267
chr6	361.0	660.0	247.0	257.0	0.6842105263157895	0.3893939393939394	0.49632325633216967
chr7	276.0	508.0	199.0	201.0	0.7210144927536232	0.3956692913385827	0.5109473200143069
chr8	235.0	550.0	178.0	178.0	0.7574468085106383	0.3236363636363636	0.4535031847133758
chr9	237.0	394.0	162.0	161.0	0.6835443037974683	0.4086294416243655	0.5114869833799088
chr10	258.0	454.0	172.0	174.0	0.6666666666666666	0.3832599118942731	0.4867132867132867
chr11	378.0	553.0	256.0	257.0	0.6772486772486772	0.46473779385171793	0.5512202887136909
chr12	327.0	516.0	226.0	231.0	0.691131498470948	0.4476744186046512	0.543379494465348
chr13	120.0	266.0	84.0	83.0	0.7	0.31203007518796994	0.4316493313521545
chr14	200.0	338.0	141.0	142.0	0.705	0.42011834319526625	0.5264929395987272
chr15	206.0	325.0	132.0	134.0	0.6407766990291263	0.4123076923076923	0.5017587654601158
chr16	196.0	281.0	130.0	133.0	0.6632653061224489	0.47330960854092524	0.5524138151378638
chr17	258.0	387.0	164.0	165.0	0.6356589147286822	0.4263565891472868	0.5103830702201098
chr18	106.0	237.0	75.0	80.0	0.7075471698113207	0.33755274261603374	0.45705579889544845
chr19	179.0	259.0	99.0	97.0	0.553072625698324	0.3745173745173745	0.4466096177099805
chr20	175.0	270.0	127.0	128.0	0.7257142857142858	0.4740740740740741	0.5735050273416828
chr21	59.0	115.0	50.0	50.0	0.847457627118644	0.43478260869565216	0.5747126436781609
chr22	118.0	170.0	80.0	79.0	0.6779661016949152	0.4647058823529412	0.5514353023296397
chrX	100.0	318.0	65.0	68.0	0.65	0.2138364779874214	0.32180560611576264
average	247.2173913043478	438.2173913043478	171.56521739130434	173.0	0.6948695387925925	0.3940365725537974	0.49905558305048003
standard error	25.79195852570825	41.88875520159187	18.563939936240637	18.56289383873065	0.011656627891434276	0.013564333923572973	0.012279439687904297
overall	5686.0	10079.0	3946.0	3979.0	0.6939852268730214	0.394781228296458	0.5032710899269586
