chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	878.0	941.0	473.0	463.0	0.5387243735763098	0.4920297555791711	0.5143193985018911
chr2	656.0	739.0	306.0	309.0	0.46646341463414637	0.4181326116373478	0.44097771186322104
chr3	557.0	666.0	300.0	297.0	0.5385996409335727	0.44594594594594594	0.4879130627633621
chr4	314.0	551.0	181.0	178.0	0.5764331210191083	0.32304900181488205	0.4140519074943935
chr5	395.0	581.0	223.0	222.0	0.5645569620253165	0.38209982788296043	0.45574514506128805
chr6	482.0	660.0	277.0	275.0	0.5746887966804979	0.4166666666666667	0.48308336239972094
chr7	433.0	508.0	227.0	225.0	0.5242494226327945	0.44291338582677164	0.4801613229231789
chr8	360.0	550.0	202.0	198.0	0.5611111111111111	0.36	0.4386007237635706
chr9	332.0	394.0	175.0	175.0	0.5271084337349398	0.44416243654822335	0.4820936639118457
chr10	400.0	454.0	197.0	194.0	0.4925	0.42731277533039647	0.45759647505358064
chr11	524.0	553.0	271.0	271.0	0.517175572519084	0.49005424954792043	0.5032497678737233
chr12	445.0	516.0	233.0	233.0	0.5235955056179775	0.45155038759689925	0.48491155046826223
chr13	195.0	266.0	95.0	95.0	0.48717948717948717	0.35714285714285715	0.41214750542299344
chr14	276.0	338.0	152.0	151.0	0.5507246376811594	0.4467455621301775	0.49331556549026345
chr15	321.0	325.0	153.0	151.0	0.4766355140186916	0.4646153846153846	0.47054869852132464
chr16	367.0	281.0	151.0	147.0	0.4114441416893733	0.5231316725978647	0.46061423531853085
chr17	421.0	387.0	190.0	189.0	0.4513064133016627	0.4883720930232558	0.4691082240902945
chr18	171.0	237.0	86.0	90.0	0.5029239766081871	0.379746835443038	0.432740691043274
chr19	300.0	259.0	126.0	122.0	0.42	0.47104247104247104	0.4440592772337291
chr20	259.0	270.0	139.0	135.0	0.5366795366795367	0.5	0.5176908752327747
chr21	86.0	115.0	52.0	50.0	0.6046511627906976	0.43478260869565216	0.5058365758754864
chr22	184.0	170.0	85.0	83.0	0.46195652173913043	0.48823529411764705	0.4747325213646457
chrX	169.0	318.0	75.0	76.0	0.4437869822485207	0.2389937106918239	0.31067749495830377
average	370.6521739130435	438.2173913043478	189.95652173913044	188.2173913043478	0.5109780316704914	0.42985763190771126	0.4623554676795503
standard error	36.76184483878896	41.88875520159187	19.818691845973348	19.581082719839124	0.01086253459283314	0.013729000363884393	0.009219614428353307
overall	8525.0	10079.0	4369.0	4329.0	0.5124926686217008	0.42950689552534976	0.46734445207205405
