chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	1064.0	949.0	325.0	314.0	0.30545112781954886	0.3308746048472076	0.3176549871521709
chr2	926.0	749.0	235.0	225.0	0.25377969762419006	0.30040053404539385	0.27512910904999155
chr3	608.0	672.0	180.0	176.0	0.29605263157894735	0.2619047619047619	0.2779337450870297
chr4	330.0	552.0	113.0	114.0	0.3424242424242424	0.20652173913043478	0.2576503060122405
chr5	495.0	586.0	151.0	153.0	0.30505050505050507	0.26109215017064846	0.2813647462870157
chr6	624.0	669.0	210.0	202.0	0.33653846153846156	0.30194319880418535	0.3183035814780632
chr7	519.0	509.0	141.0	138.0	0.27167630057803466	0.27111984282907664	0.2713977864719543
chr8	437.0	556.0	142.0	130.0	0.32494279176201374	0.23381294964028776	0.2719464946008456
chr9	391.0	398.0	116.0	116.0	0.2966751918158568	0.2914572864321608	0.29404309252217997
chr10	565.0	461.0	127.0	124.0	0.2247787610619469	0.26898047722342733	0.24490113290878412
chr11	578.0	556.0	193.0	185.0	0.33391003460207613	0.3327338129496403	0.3333208861173088
chr12	462.0	524.0	158.0	153.0	0.341991341991342	0.2919847328244275	0.31501583288810125
chr13	235.0	270.0	56.0	54.0	0.23829787234042554	0.2	0.2174757281553398
chr14	366.0	342.0	114.0	108.0	0.3114754098360656	0.3157894736842105	0.31361760660247595
chr15	432.0	329.0	115.0	113.0	0.2662037037037037	0.3434650455927052	0.2999388350971138
chr16	550.0	283.0	96.0	94.0	0.17454545454545456	0.3321554770318021	0.22883805852817368
chr17	514.0	393.0	135.0	131.0	0.26264591439688717	0.3333333333333333	0.29379760609358
chr18	206.0	238.0	61.0	63.0	0.2961165048543689	0.2647058823529412	0.27953156822810593
chr19	314.0	261.0	71.0	70.0	0.22611464968152867	0.2681992337164751	0.24536545629582085
chr20	298.0	271.0	93.0	92.0	0.31208053691275167	0.33948339483394835	0.32520572416807614
chr21	110.0	116.0	29.0	27.0	0.2636363636363636	0.23275862068965517	0.24723713293337543
chr22	280.0	171.0	67.0	62.0	0.2392857142857143	0.36257309941520466	0.28830204393240105
chrX	321.0	321.0	51.0	51.0	0.1588785046728972	0.1588785046728972	0.1588785046728972
average	461.95652173913044	442.4347826086956	129.52173913043478	125.8695652173913	0.2775022485527533	0.282789919831514	0.27638478109926284
standard error	45.33779575973299	42.31613686383576	14.132192046403574	13.577228137747811	0.010563798191870982	0.010860727717656912	0.008440915610978443
overall	10625.0	10176.0	2979.0	2895.0	0.2803764705882353	0.2844929245283019	0.28241969834501046
