chromosome	position	predicted	target	matched predicted	matched target	precision	recall	F1 score
1	0	3	9	2.0	2.0	0.6666666666666666	0.2222222222222222	0.3333333333333333
1	400	3	11	3.0	3.0	1.0	0.2727272727272727	0.42857142857142855
1	800	10	22	6.0	7.0	0.6	0.3181818181818182	0.4158415841584159
1	1200	5	12	3.0	4.0	0.6	0.3333333333333333	0.42857142857142855
1	1600	12	19	6.0	7.0	0.5	0.3684210526315789	0.42424242424242425
1	2000	18	26	15.0	15.0	0.8333333333333334	0.5769230769230769	0.6818181818181818
1	2400	13	29	12.0	13.0	0.9230769230769231	0.4482758620689655	0.6034816247582205
1	2800	8	22	7.0	7.0	0.875	0.3181818181818182	0.4666666666666667
1	3200	3	8	1.0	1.0	0.3333333333333333	0.125	0.18181818181818182
1	3600	5	12	4.0	5.0	0.8	0.4166666666666667	0.547945205479452
1	4000	8	18	8.0	8.0	1.0	0.4444444444444444	0.6153846153846154
1	4400	9	19	8.0	9.0	0.8888888888888888	0.47368421052631576	0.6180257510729613
1	4800	0	6	0.0	0.0		0.0	
1	5200	9	17	9.0	9.0	1.0	0.5294117647058824	0.6923076923076923
1	5600	2	2	1.0	1.0	0.5	0.5	0.5
1	6000	2	6	2.0	2.0	1.0	0.3333333333333333	0.5
1	6400	9	15	9.0	9.0	1.0	0.6	0.7499999999999999
1	6800	4	11	4.0	4.0	1.0	0.36363636363636365	0.5333333333333333
1	7600	0	2	0.0	0.0		0.0	
1	8400	5	8	4.0	4.0	0.8	0.5	0.6153846153846154
1	8800	2	5	1.0	1.0	0.5	0.2	0.2857142857142857
1	9200	7	9	6.0	6.0	0.8571428571428571	0.6666666666666666	0.7499999999999999
1	10000	2	4	1.0	1.0	0.5	0.25	0.3333333333333333
1	10800	17	23	14.0	14.0	0.8235294117647058	0.6086956521739131	0.7
1	11200	9	15	7.0	7.0	0.7777777777777778	0.4666666666666667	0.5833333333333334
1	11600	9	12	8.0	8.0	0.8888888888888888	0.6666666666666666	0.7619047619047619
1	15200	17	29	15.0	17.0	0.8823529411764706	0.5862068965517241	0.7044198895027624
1	15600	11	21	10.0	12.0	0.9090909090909091	0.5714285714285714	0.7017543859649122
1	16000	7	15	6.0	6.0	0.8571428571428571	0.4	0.5454545454545454
1	16400	7	14	5.0	5.0	0.7142857142857143	0.35714285714285715	0.4761904761904763
1	16800	1	5	0.0	0.0	0.0	0.0	0.0
1	17200	7	15	6.0	6.0	0.8571428571428571	0.4	0.5454545454545454
1	17600	2	8	2.0	2.0	1.0	0.25	0.4
1	18000	12	21	11.0	10.0	0.9166666666666666	0.47619047619047616	0.6267806267806267
1	18400	4	4	2.0	2.0	0.5	0.5	0.5
1	19200	0	1	0.0	0.0		0.0	
1	19600	0	3	0.0	0.0		0.0	
1	20000	15	19	15.0	14.0	1.0	0.7368421052631579	0.8484848484848485
1	20400	8	29	8.0	8.0	1.0	0.27586206896551724	0.43243243243243246
1	20800	7	12	6.0	6.0	0.8571428571428571	0.5	0.631578947368421
1	21200	3	8	3.0	4.0	1.0	0.5	0.6666666666666666
1	22000	1	5	1.0	1.0	1.0	0.2	0.3333333333333333
1	22400	9	14	7.0	6.0	0.7777777777777778	0.42857142857142855	0.5526315789473684
1	22800	7	13	5.0	5.0	0.7142857142857143	0.38461538461538464	0.5000000000000001
