chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	274.0	671.0	211.0	213.0	0.7700729927007299	0.3174366616989568	0.44955812406535867
chr2	98.0	354.0	55.0	58.0	0.5612244897959183	0.1638418079096045	0.25363759243062733
chr3	80.0	343.0	52.0	54.0	0.65	0.15743440233236153	0.25347535656255643
chr4	34.0	214.0	19.0	21.0	0.5588235294117647	0.09813084112149532	0.16694560669456066
chr5	62.0	257.0	37.0	38.0	0.5967741935483871	0.14785992217898833	0.23699957859249896
chr6	98.0	347.0	67.0	69.0	0.6836734693877551	0.1988472622478386	0.30808703475392357
chr7	98.0	272.0	72.0	72.0	0.7346938775510204	0.2647058823529412	0.3891891891891892
chr8	47.0	207.0	31.0	32.0	0.6595744680851063	0.15458937198067632	0.25047342507259185
chr10	75.0	258.0	54.0	55.0	0.72	0.2131782945736434	0.3289582987207177
chr11	121.0	353.0	76.0	81.0	0.628099173553719	0.22946175637393768	0.3361271123972809
chr12	81.0	242.0	55.0	57.0	0.6790123456790124	0.23553719008264462	0.349751771071568
chr13	32.0	64.0	6.0	6.0	0.1875	0.09375	0.125
chr14	30.0	129.0	15.0	15.0	0.5	0.11627906976744186	0.18867924528301888
chr15	71.0	189.0	53.0	55.0	0.7464788732394366	0.291005291005291	0.4187616721735383
chr16	77.0	182.0	50.0	52.0	0.6493506493506493	0.2857142857142857	0.3968253968253968
chr17	96.0	276.0	72.0	73.0	0.75	0.2644927536231884	0.39107142857142857
chr18	22.0	83.0	11.0	12.0	0.5	0.14457831325301204	0.22429906542056072
chr19	80.0	230.0	60.0	62.0	0.75	0.26956521739130435	0.39658848614072495
chr20	65.0	171.0	46.0	46.0	0.7076923076923077	0.26900584795321636	0.3898305084745763
chr21	29.0	59.0	21.0	21.0	0.7241379310344828	0.3559322033898305	0.47727272727272724
chr22	109.0	112.0	39.0	40.0	0.3577981651376147	0.35714285714285715	0.35747021081576535
chrX	36.0	129.0	9.0	9.0	0.25	0.06976744186046512	0.10909090909090907
average	77.95454545454545	233.72727272727272	50.5	51.86363636363637	0.6074957484621774	0.2135571215433628	0.30900421543725093
standard error	11.191848702118598	28.590948664450686	8.93210319759392	9.03415727330031	0.03452650903476312	0.018093450160796276	0.02234894010160223
overall	1715.0	5142.0	1111.0	1141.0	0.6478134110787171	0.22189809412679892	0.330566079459141
