chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	741.0	949.0	286.0	287.0	0.38596491228070173	0.30242360379346683	0.3391250637806483
chr2	620.0	749.0	204.0	208.0	0.32903225806451614	0.27770360480640854	0.30119678019279095
chr3	543.0	672.0	176.0	180.0	0.3241252302025783	0.26785714285714285	0.29331703794233654
chr4	349.0	552.0	120.0	123.0	0.3438395415472779	0.22282608695652173	0.27041138805683035
chr5	408.0	586.0	154.0	157.0	0.37745098039215685	0.26791808873720135	0.3133895009721322
chr6	492.0	669.0	173.0	174.0	0.3516260162601626	0.2600896860986547	0.2990091633762944
chr7	394.0	509.0	147.0	149.0	0.3730964467005076	0.29273084479371314	0.3280635667158445
chr8	352.0	556.0	114.0	114.0	0.32386363636363635	0.20503597122302158	0.25110132158590304
chr9	267.0	398.0	130.0	134.0	0.4868913857677903	0.33668341708542715	0.39808953586690743
chr10	326.0	461.0	109.0	111.0	0.3343558282208589	0.24078091106290672	0.27995603632787647
chr11	463.0	556.0	160.0	163.0	0.34557235421166305	0.2931654676258993	0.31721898205304416
chr12	405.0	524.0	136.0	135.0	0.3358024691358025	0.25763358778625955	0.2915697282017484
chr13	156.0	270.0	64.0	64.0	0.41025641025641024	0.23703703703703705	0.3004694835680751
chr14	267.0	342.0	109.0	113.0	0.40823970037453183	0.3304093567251462	0.3652240952423313
chr15	246.0	329.0	90.0	90.0	0.36585365853658536	0.2735562310030395	0.31304347826086953
chr16	277.0	283.0	96.0	98.0	0.34657039711191334	0.3462897526501767	0.3464300180432301
chr17	316.0	393.0	101.0	102.0	0.31962025316455694	0.2595419847328244	0.2864650677789364
chr18	176.0	238.0	59.0	65.0	0.3352272727272727	0.27310924369747897	0.30099678204222585
chr19	237.0	261.0	74.0	74.0	0.31223628691983124	0.2835249042145594	0.2971887550200803
chr20	215.0	271.0	76.0	78.0	0.35348837209302325	0.2878228782287823	0.31729379649949147
chr21	71.0	116.0	38.0	40.0	0.5352112676056338	0.3448275862068966	0.4194260485651214
chr22	148.0	171.0	64.0	65.0	0.43243243243243246	0.38011695906432746	0.4045905465862673
chrX	228.0	321.0	57.0	58.0	0.25	0.1806853582554517	0.20976491862567812
average	334.6521739130435	442.4347826086956	119.0	120.95652173913044	0.3643807439291237	0.2792073784627106	0.3149278737088984
standard error	33.35535160975646	42.31613686383576	11.86451846553295	11.912141854458806	0.012560172253193438	0.009851724888568237	0.01008779302810163
overall	7697.0	10176.0	2737.0	2782.0	0.3555930882161881	0.2733883647798742	0.30911885382750015
