chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	518.0	941.0	408.0	409.0	0.7876447876447876	0.434643995749203	0.560170529884691
chr2	383.0	739.0	292.0	294.0	0.762402088772846	0.39783491204330174	0.522841743049423
chr3	323.0	666.0	245.0	246.0	0.7585139318885449	0.36936936936936937	0.49680993125278206
chr4	225.0	551.0	167.0	169.0	0.7422222222222222	0.30671506352087113	0.43405976530659324
chr5	268.0	581.0	200.0	198.0	0.746268656716418	0.3407917383820998	0.4679081198601002
chr6	336.0	660.0	258.0	260.0	0.7678571428571429	0.3939393939393939	0.5207265952491849
chr7	269.0	508.0	200.0	199.0	0.7434944237918215	0.39173228346456695	0.5131147223959105
chr8	225.0	550.0	177.0	180.0	0.7866666666666666	0.32727272727272727	0.46224156692056584
chr9	199.0	394.0	150.0	152.0	0.7537688442211056	0.38578680203045684	0.5103639700944621
chr10	224.0	454.0	165.0	167.0	0.7366071428571429	0.36784140969163	0.4906604462330171
chr11	301.0	553.0	228.0	232.0	0.7574750830564784	0.41952983725135623	0.539986524837175
chr12	289.0	516.0	227.0	225.0	0.7854671280276817	0.436046511627907	0.5607799864951662
chr13	116.0	266.0	80.0	81.0	0.6896551724137931	0.30451127819548873	0.42248011474768554
chr14	174.0	338.0	125.0	129.0	0.7183908045977011	0.3816568047337278	0.49848522319772476
chr15	158.0	325.0	117.0	118.0	0.740506329113924	0.3630769230769231	0.48725052497838317
chr16	153.0	281.0	114.0	119.0	0.7450980392156863	0.4234875444839858	0.5400370215560996
chr17	181.0	387.0	140.0	141.0	0.7734806629834254	0.3643410852713178	0.4953513757669289
chr18	105.0	237.0	75.0	77.0	0.7142857142857143	0.32489451476793246	0.44663573085846864
chr19	123.0	259.0	79.0	78.0	0.6422764227642277	0.30115830115830117	0.41004824488437863
chr20	142.0	270.0	110.0	113.0	0.7746478873239436	0.4185185185185185	0.5434354916276832
chr21	54.0	115.0	46.0	45.0	0.8518518518518519	0.391304347826087	0.5362694300518135
chr22	112.0	170.0	80.0	77.0	0.7142857142857143	0.45294117647058824	0.5543556515478761
chrX	99.0	318.0	69.0	72.0	0.696969696969697	0.22641509433962265	0.3417956656346749
average	216.3913043478261	438.2173913043478	163.1304347826087	164.3913043478261	0.7473841919360232	0.37060041883414685	0.49373079897525174
standard error	22.71308751334944	41.88875520159187	18.01737241899296	18.03408489241572	0.008669211023858408	0.011262855598359052	0.011426391060431012
overall	4977.0	10079.0	3752.0	3781.0	0.7538677918424754	0.3751364222641135	0.5009782297681208
