chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	3093.0	1331.0	903.0	900.0	0.29194956353055285	0.67618332081142	0.4078188615847127
chr2	3251.0	1183.0	854.0	839.0	0.2626884035681329	0.7092138630600169	0.3833765263702252
chr3	2310.0	942.0	659.0	653.0	0.2852813852813853	0.6932059447983014	0.40421320979444003
chr4	1586.0	727.0	481.0	482.0	0.30327868852459017	0.6629986244841816	0.41618146389274585
chr5	2144.0	819.0	577.0	575.0	0.2691231343283582	0.702075702075702	0.38909604582719337
chr6	2074.0	919.0	617.0	608.0	0.2974927675988428	0.661588683351469	0.41042989253370454
chr7	1977.0	782.0	526.0	529.0	0.26605968639352556	0.6764705882352942	0.38191145134559235
chr8	1568.0	708.0	464.0	460.0	0.29591836734693877	0.6497175141242938	0.4066329330000609
chr9	1339.0	524.0	378.0	367.0	0.28230022404779687	0.700381679389313	0.40240469335808615
chr10	1622.0	605.0	421.0	415.0	0.2595561035758323	0.6859504132231405	0.3766079098115505
chr11	1625.0	702.0	493.0	489.0	0.30338461538461536	0.6965811965811965	0.4226784873644595
chr12	1862.0	794.0	551.0	547.0	0.29591836734693877	0.6889168765743073	0.41400459338135503
chr13	798.0	389.0	240.0	235.0	0.3007518796992481	0.6041131105398457	0.4015806899498024
chr14	1070.0	490.0	323.0	317.0	0.3018691588785047	0.6469387755102041	0.4116552084589716
chr15	1058.0	520.0	336.0	342.0	0.31758034026465026	0.6576923076923077	0.4283318050678773
chr16	970.0	418.0	290.0	288.0	0.29896907216494845	0.6889952153110048	0.41699535673273747
chr17	1331.0	551.0	391.0	385.0	0.2937640871525169	0.6987295825771325	0.4136281454533465
chr18	797.0	366.0	236.0	230.0	0.2961104140526976	0.6284153005464481	0.40254221576203436
chr19	877.0	444.0	266.0	264.0	0.3033067274800456	0.5945945945945946	0.40170236133992315
chr20	773.0	412.0	265.0	260.0	0.3428201811125485	0.6310679611650486	0.4442868197059582
chr21	346.0	144.0	89.0	90.0	0.25722543352601157	0.625	0.36445536445536447
chr22	570.0	263.0	186.0	184.0	0.3263157894736842	0.6996197718631179	0.4450513010572309
chrX	1195.0	397.0	247.0	243.0	0.20669456066945607	0.6120906801007556	0.30903296228027716
average	1488.5217391304348	627.3913043478261	425.7826086956522	421.82608695652175	0.2894938674522531	0.6648061611569173	0.40237470863163693
standard error	155.9808424129788	59.87690730309588	42.757055979736315	42.45712332277714	0.005743498565764258	0.007268854789905939	0.005847869818406647
overall	34236.0	14430.0	9793.0	9702.0	0.2860439303656969	0.6723492723492723	0.401341386596832
