chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	8005.0	1220.0	693.0	685.0	0.08657089319175515	0.5614754098360656	0.15001220594148887
chr2	9250.0	796.0	342.0	336.0	0.03697297297297297	0.4221105527638191	0.06799059946181209
chr3	7675.0	670.0	289.0	285.0	0.03765472312703583	0.4253731343283582	0.06918507100993067
chr4	7210.0	341.0	139.0	136.0	0.01927877947295423	0.39882697947214074	0.036779677010464425
chr5	6367.0	592.0	250.0	239.0	0.03926495994974085	0.40371621621621623	0.07156918584211779
chr6	5771.0	796.0	346.0	345.0	0.059954947149540805	0.4334170854271357	0.10533835213471872
chr7	5532.0	621.0	291.0	284.0	0.05260303687635575	0.4573268921095008	0.09435329053161921
chr8	5262.0	446.0	216.0	209.0	0.04104903078677309	0.46860986547085204	0.07548570597294192
chr10	4757.0	530.0	231.0	226.0	0.04856001681732184	0.42641509433962266	0.08719077554128893
chr11	5008.0	671.0	336.0	336.0	0.0670926517571885	0.5007451564828614	0.11833069202324352
chr12	5050.0	590.0	272.0	272.0	0.05386138613861386	0.4610169491525424	0.09645390070921986
chr13	4045.0	131.0	44.0	39.0	0.010877626699629172	0.29770992366412213	0.02098838667066212
chr14	4084.0	276.0	132.0	133.0	0.03232125367286973	0.48188405797101447	0.06057929206837772
chr15	3072.0	398.0	197.0	197.0	0.06412760416666667	0.4949748743718593	0.11354466858789627
chr16	2972.0	429.0	232.0	226.0	0.07806191117092867	0.5268065268065268	0.13597510373443983
chr17	3217.0	626.0	311.0	313.0	0.09667391980105688	0.5	0.16202135972909612
chr18	3048.0	188.0	82.0	78.0	0.02690288713910761	0.4148936170212766	0.050529309527571495
chr19	2411.0	594.0	304.0	302.0	0.12608875985068435	0.5084175084175084	0.20206493246381085
chr20	2270.0	331.0	189.0	186.0	0.08325991189427313	0.5619335347432024	0.14503103476016907
chr21	1189.0	142.0	69.0	66.0	0.05803195962994113	0.4647887323943662	0.1031810766721044
chr22	1338.0	248.0	142.0	137.0	0.10612855007473841	0.5524193548387096	0.178050722581708
chrX	7663.0	251.0	87.0	83.0	0.011353255904998043	0.33067729083665337	0.02195279889825588
average	4781.636363636364	494.8636363636364	236.0909090909091	232.4090909090909	0.056213229011143034	0.45879721621201613	0.09848218826695171
standard error	480.6008124102721	55.39239384915607	29.558871412512094	29.458875810694295	0.0064985393936488065	0.01453078477733761	0.010466474596480558
overall	105196.0	10887.0	5194.0	5113.0	0.04937450093159436	0.46964269312023516	0.08935493411289924
