chromosome	MSE	SSIM	PSNR
chr1	0.00026960081840262073	0.8803664459654914	35.69278632698621
chr2	0.00039868140870528377	0.8848485436361585	33.99373906934775
chr3	0.000405620128074132	0.8838074810061929	33.91880395090102
chr4	0.00040967360504949726	0.8908847953160566	33.87561910390002
chr5	0.0003873809031004929	0.8847695710781784	34.118616805991465
chr6	0.00034991686991175957	0.875859120881715	34.56034995041178
chr7	0.00033526338995434744	0.8776486042813125	34.74613738473033
chr8	0.0003811348476362217	0.8877316537392118	34.18921227376606
chr10	0.00036636317863263047	0.8851965134179332	34.36088063078519
chr11	0.0003611215894947847	0.8819943279973339	34.42346426430508
chr12	0.000383534755516473	0.8847753678499637	34.161951613874926
chr13	0.00030655885009135166	0.9052688975399992	35.13485999978615
chr14	0.00036803698554632215	0.9040330375607419	34.34108417096511
chr15	0.00027449338956130395	0.8974908652725455	35.61467951691598
chr16	0.0002912699150512719	0.8884575908921676	35.35704221750786
chr17	0.0003396989319434993	0.8837250578332423	34.68905690757865
chr18	0.00042501789984371384	0.8886004838703765	33.71592676850242
chr19	0.0002896031911127011	0.8822303372508704	35.38196507033027
chr20	0.000336049550081762	0.8853095845499962	34.73596552480548
chr21	0.00029723246323856787	0.898613187340492	35.26903613282488
chr22	0.0002521291710690059	0.8900877777609646	35.98376731769798
chrX	0.00028808993095805213	0.9028784567074222	35.4047176974741
average	0.00034165780786253613	0.8883898955340167	34.71225739542676
standard error	1.0929963929473078e-05	0.0017735628906027205	0.14235306556547975
