chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	187.0	1331.0	180.0	183.0	0.9625668449197861	0.13749060856498874	0.24061270776951144
chr2	89.0	1183.0	84.0	86.0	0.9438202247191011	0.07269653423499578	0.1349952348027582
chr3	87.0	942.0	84.0	85.0	0.9655172413793104	0.09023354564755838	0.1650428209840158
chr4	22.0	727.0	21.0	21.0	0.9545454545454546	0.02888583218707015	0.05607476635514018
chr5	47.0	819.0	47.0	47.0	1.0	0.057387057387057384	0.10854503464203233
chr6	97.0	919.0	92.0	93.0	0.9484536082474226	0.10119695321001088	0.18288108240977244
chr7	62.0	782.0	59.0	60.0	0.9516129032258065	0.07672634271099744	0.1420032893417305
chr8	51.0	708.0	51.0	51.0	1.0	0.07203389830508475	0.13438735177865613
chr9	53.0	524.0	53.0	52.0	1.0	0.09923664122137404	0.18055555555555555
chr10	65.0	605.0	61.0	64.0	0.9384615384615385	0.10578512396694215	0.19013758675270914
chr11	126.0	702.0	119.0	119.0	0.9444444444444444	0.16951566951566951	0.28743961352657005
chr12	98.0	794.0	96.0	97.0	0.9795918367346939	0.12216624685138538	0.21724017263501688
chr13	19.0	389.0	19.0	19.0	1.0	0.04884318766066838	0.09313725490196077
chr14	52.0	490.0	50.0	51.0	0.9615384615384616	0.10408163265306122	0.18783146729522687
chr15	78.0	520.0	74.0	74.0	0.9487179487179487	0.1423076923076923	0.24749163879598662
chr16	48.0	418.0	47.0	48.0	0.9791666666666666	0.11483253588516747	0.20555808656036445
chr17	95.0	551.0	94.0	97.0	0.9894736842105263	0.17604355716878403	0.29890671868085034
chr18	14.0	366.0	14.0	14.0	1.0	0.03825136612021858	0.0736842105263158
chr19	45.0	444.0	41.0	42.0	0.9111111111111111	0.0945945945945946	0.17139444610331442
chr20	65.0	412.0	63.0	63.0	0.9692307692307692	0.1529126213592233	0.2641509433962264
chr21	24.0	144.0	23.0	24.0	0.9583333333333334	0.16666666666666666	0.2839506172839506
chr22	52.0	263.0	51.0	53.0	0.9807692307692307	0.20152091254752852	0.3343434968148927
chrX	7.0	397.0	7.0	7.0	1.0	0.017632241813602016	0.03465346534653465
average	64.47826086956522	627.3913043478261	62.17391304347826	63.04347826086956	0.9690154479241566	0.10395832446001484	0.18413119835909095
standard error	8.452580952804007	59.87690730309588	8.089580516959318	8.206928110766826	0.005189630921399562	0.010334871002028881	0.016853524303592812
overall	1483.0	14430.0	1430.0	1450.0	0.9642616318273769	0.10048510048510048	0.1820037085395157
