chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	526.0	941.0	388.0	389.0	0.7376425855513308	0.41339001062699254	0.5298443802415914
chr2	383.0	739.0	271.0	276.0	0.7075718015665796	0.37347767253044656	0.48889949244551056
chr3	338.0	666.0	239.0	241.0	0.7071005917159763	0.36186186186186187	0.4787310083446923
chr4	218.0	551.0	161.0	162.0	0.7385321100917431	0.294010889292196	0.4205858401799608
chr5	267.0	581.0	193.0	195.0	0.7228464419475655	0.33562822719449226	0.45840996845272175
chr6	331.0	660.0	246.0	257.0	0.743202416918429	0.3893939393939394	0.5110355781705311
chr7	265.0	508.0	194.0	195.0	0.7320754716981132	0.3838582677165354	0.5036378280868286
chr8	222.0	550.0	166.0	171.0	0.7477477477477478	0.3109090909090909	0.4392010026148443
chr9	202.0	394.0	148.0	148.0	0.7326732673267327	0.3756345177664975	0.49664429530201354
chr10	225.0	454.0	151.0	153.0	0.6711111111111111	0.3370044052863436	0.44869342293088876
chr11	326.0	553.0	234.0	232.0	0.7177914110429447	0.41952983725135623	0.5295511963869406
chr12	284.0	516.0	204.0	207.0	0.7183098591549296	0.4011627906976744	0.5148123765635286
chr13	110.0	266.0	76.0	75.0	0.6909090909090909	0.2819548872180451	0.40047776294526805
chr14	175.0	338.0	130.0	131.0	0.7428571428571429	0.3875739644970414	0.5093845808719061
chr15	158.0	325.0	112.0	113.0	0.7088607594936709	0.3476923076923077	0.46654624543812434
chr16	173.0	281.0	114.0	114.0	0.6589595375722543	0.40569395017793597	0.5022026431718062
chr17	207.0	387.0	139.0	139.0	0.6714975845410628	0.35917312661498707	0.468013468013468
chr18	109.0	237.0	76.0	79.0	0.6972477064220184	0.3333333333333333	0.4510385756676558
chr19	136.0	259.0	74.0	75.0	0.5441176470588235	0.28957528957528955	0.3779881495607164
chr20	144.0	270.0	106.0	107.0	0.7361111111111112	0.3962962962962963	0.5152175888071228
chr21	58.0	115.0	47.0	47.0	0.8103448275862069	0.40869565217391307	0.5433526011560693
chr22	94.0	170.0	64.0	64.0	0.6808510638297872	0.3764705882352941	0.48484848484848486
chrX	99.0	318.0	72.0	74.0	0.7272727272727273	0.23270440251572327	0.35259082787373436
average	219.56521739130434	438.2173913043478	156.7391304347826	158.43478260869566	0.7106797397620478	0.35717501342859104	0.47355249209019173
standard error	23.04102082503957	41.88875520159187	17.075190308640835	17.262198652546733	0.010140230018456904	0.010193920381955494	0.010376003332410563
overall	5050.0	10079.0	3605.0	3644.0	0.7138613861386138	0.3615438039488044	0.47999054387256734
