chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	437.0	669.0	267.0	271.0	0.6109839816933639	0.40508221225710017	0.48717051001514905
chr2	210.0	356.0	83.0	83.0	0.3952380952380952	0.23314606741573032	0.2932862190812721
chr3	147.0	345.0	80.0	80.0	0.54421768707483	0.2318840579710145	0.3252032520325203
chr4	71.0	214.0	19.0	20.0	0.2676056338028169	0.09345794392523364	0.13853445133065984
chr5	88.0	257.0	44.0	45.0	0.5	0.17509727626459143	0.25936599423631124
chr6	139.0	346.0	88.0	92.0	0.6330935251798561	0.2658959537572254	0.3745027292071422
chr7	202.0	271.0	85.0	86.0	0.4207920792079208	0.3173431734317343	0.36181849679510975
chr8	98.0	203.0	37.0	37.0	0.37755102040816324	0.18226600985221675	0.24584717607973422
chr10	139.0	256.0	61.0	62.0	0.43884892086330934	0.2421875	0.3121234629033589
chr11	177.0	348.0	93.0	91.0	0.5254237288135594	0.2614942528735632	0.3491984898186545
chr12	137.0	244.0	69.0	69.0	0.5036496350364964	0.2827868852459016	0.36220472440944884
chr13	42.0	65.0	9.0	9.0	0.21428571428571427	0.13846153846153847	0.16822429906542055
chr14	45.0	131.0	22.0	22.0	0.4888888888888889	0.16793893129770993	0.25
chr15	91.0	184.0	60.0	60.0	0.6593406593406593	0.32608695652173914	0.4363636363636364
chr16	165.0	182.0	64.0	65.0	0.3878787878787879	0.35714285714285715	0.37187681580476467
chr17	177.0	279.0	109.0	110.0	0.615819209039548	0.3942652329749104	0.48074417112728296
chr18	37.0	84.0	12.0	12.0	0.32432432432432434	0.14285714285714285	0.19834710743801656
chr19	119.0	229.0	84.0	84.0	0.7058823529411765	0.36681222707423583	0.48275862068965525
chr20	82.0	173.0	56.0	56.0	0.6829268292682927	0.3236994219653179	0.4392156862745098
chr21	36.0	60.0	23.0	23.0	0.6388888888888888	0.38333333333333336	0.4791666666666667
chr22	74.0	108.0	47.0	46.0	0.6351351351351351	0.42592592592592593	0.5099056603773585
chrX	84.0	132.0	16.0	16.0	0.19047619047619047	0.12121212121212122	0.14814814814814814
average	127.13636363636364	233.45454545454547	64.9090909090909	65.4090909090909	0.4891477858084553	0.26538077371641566	0.3397275599029464
standard error	18.59319517268708	28.490427288267956	11.50247650558397	11.66573758036665	0.03267456306560576	0.02148916570362434	0.02488434289084878
overall	2797.0	5136.0	1428.0	1439.0	0.5105470146585628	0.2801791277258567	0.36180571139011036
