chromosome	MSE	SSIM	PSNR
chr1	0.0006446640505955718	0.8494973506206964	31.90666479984973
chr2	0.0004537127256819545	0.8495317632192079	33.432189438017154
chr3	0.00043099421783555534	0.8490799211047652	33.655284554748384
chr4	0.0002768771099083668	0.8638513357283837	35.57712790077355
chr5	0.0003755213702704305	0.851731502302615	34.25365227359126
chr6	0.000472744650755219	0.8480932480446529	33.25373284758331
chr7	0.00042747777682093673	0.8511844434575391	33.69086356311726
chr8	0.0003828116312091162	0.854099117639037	34.17014761800837
chr9	0.0004627728598392844	0.8663867776757194	33.34632025121475
chr10	0.0005734675929778658	0.8446060235142862	32.414910435982016
chr11	0.0007346447245467795	0.8375944855766878	31.339225765904875
chr12	0.0006067298493658455	0.8438271973795818	32.17004566909757
chr13	0.00030470755256488803	0.8710453156563296	35.1611663857362
chr14	0.0005258988066038122	0.8600259550870502	32.79097732127072
chr15	0.0006369254307108419	0.8610379860738397	31.95911342377315
chr16	0.0008752787860252808	0.8451904035682734	30.578535477044607
chr17	0.0016000445805099822	0.828755723324626	27.95867889701575
chr18	0.00044678705079710624	0.8560809835830375	33.498993253016295
chr19	0.0015762069788560105	0.8264198316469964	28.02386726379074
chr20	0.0010267826459829264	0.8362298039102168	29.88521437806753
chr21	0.0004914184539591916	0.8744138568779675	33.08548450359039
chr22	0.0014819584691896405	0.8577754151961542	28.29163937668319
chrX	0.00028452771448355806	0.8711489384742533	35.45875272023663
average	0.0006562154360647899	0.8520698860722574	32.43054730948319
standard error	8.29613943840076e-05	0.002680335039713485	0.46284269792494764
