chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	7394.0	2204.0	1204.0	1195.0	0.1628347308628618	0.5421960072595281	0.2504524587173307
chr2	7305.0	1782.0	983.0	967.0	0.13456536618754278	0.542648709315376	0.21565329168916927
chr3	5976.0	1487.0	835.0	817.0	0.1397255689424364	0.5494283792871554	0.22279257947004566
chr4	4994.0	1077.0	606.0	593.0	0.12134561473768522	0.5506035283194057	0.19886422748210897
chr5	5254.0	1298.0	701.0	685.0	0.13342215454891512	0.5277349768875192	0.21299486702708073
chr6	5285.0	1433.0	789.0	771.0	0.14929044465468305	0.5380321004884857	0.23372738778323623
chr7	4610.0	1148.0	634.0	624.0	0.13752711496746203	0.5435540069686411	0.21951398152073315
chr8	4269.0	1098.0	612.0	595.0	0.1433591004919185	0.5418943533697632	0.2267350470776901
chr9	3424.0	868.0	514.0	506.0	0.15011682242990654	0.5829493087557603	0.23875198742734183
chr10	4045.0	1048.0	559.0	549.0	0.13819530284301607	0.523854961832061	0.21869727710698272
chr11	4227.0	1273.0	684.0	683.0	0.16181689141234917	0.5365278868813825	0.24864301276314454
chr12	4202.0	1205.0	646.0	641.0	0.15373631603998097	0.5319502074688797	0.2385348476574291
chr13	2664.0	569.0	300.0	290.0	0.11261261261261261	0.5096660808435852	0.18446663698238028
chr14	2768.0	775.0	433.0	423.0	0.15643063583815028	0.5458064516129032	0.2431681601445528
chr15	2773.0	793.0	428.0	424.0	0.15434547421565092	0.5346784363177806	0.23954233095470034
chr16	2734.0	712.0	381.0	382.0	0.1393562545720556	0.5365168539325843	0.2212456105680799
chr17	2899.0	1056.0	533.0	523.0	0.18385650224215247	0.4952651515151515	0.26816320150070344
chr18	2172.0	522.0	313.0	303.0	0.14410681399631675	0.5804597701149425	0.23089170811513546
chr19	2444.0	897.0	433.0	428.0	0.17716857610474632	0.47714604236343366	0.25839338609750334
chr20	2105.0	638.0	345.0	332.0	0.16389548693586697	0.5203761755485894	0.24927908419208458
chr21	963.0	279.0	142.0	144.0	0.1474558670820353	0.5161290322580645	0.22937910146390714
chr22	1362.0	473.0	245.0	239.0	0.17988252569750368	0.5052854122621564	0.2653131038982517
chrX	3824.0	727.0	371.0	362.0	0.09701882845188285	0.49793672627235214	0.16239612334908302
average	3812.7391304347825	1015.7391304347826	551.7826086956521	542.4347826086956	0.14704630460294485	0.5317669808641522	0.2294608440429859
standard error	355.12347247281673	92.72099372545567	51.50309697590661	50.94144612346637	0.004284104332057881	0.005168948439844696	0.005175655208810183
overall	87693.0	23362.0	12691.0	12476.0	0.14472078729203014	0.534029620751648	0.2277278547064075
