chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	178.0	2204.0	131.0	131.0	0.7359550561797753	0.059437386569872956	0.10999160369437447
chr2	84.0	1782.0	54.0	55.0	0.6428571428571429	0.030864197530864196	0.058900523560209424
chr3	91.0	1487.0	62.0	63.0	0.6813186813186813	0.04236718224613315	0.07977370898730686
chr4	40.0	1077.0	22.0	22.0	0.55	0.02042711234911792	0.03939122649955237
chr5	49.0	1298.0	30.0	31.0	0.6122448979591837	0.023882896764252697	0.04597246595318718
chr6	92.0	1433.0	62.0	64.0	0.6739130434782609	0.044661549197487785	0.08377140203094982
chr7	66.0	1148.0	45.0	46.0	0.6818181818181818	0.04006968641114982	0.07569109258446687
chr8	52.0	1098.0	39.0	39.0	0.75	0.03551912568306011	0.06782608695652173
chr9	61.0	868.0	48.0	48.0	0.7868852459016393	0.055299539170506916	0.10333692142088269
chr10	63.0	1048.0	44.0	45.0	0.6984126984126984	0.042938931297709926	0.08090383476004658
chr11	82.0	1273.0	62.0	62.0	0.7560975609756098	0.04870384917517675	0.09151291512915129
chr12	89.0	1205.0	61.0	61.0	0.6853932584269663	0.05062240663900415	0.09428129829984543
chr13	24.0	569.0	12.0	12.0	0.5	0.0210896309314587	0.04047217537942665
chr14	57.0	775.0	42.0	43.0	0.7368421052631579	0.05548387096774193	0.1031970515128139
chr15	55.0	793.0	39.0	40.0	0.7090909090909091	0.05044136191677175	0.09418299272496757
chr16	52.0	712.0	34.0	34.0	0.6538461538461539	0.047752808988764044	0.08900523560209425
chr17	104.0	1056.0	82.0	84.0	0.7884615384615384	0.07954545454545454	0.1445115810674723
chr18	25.0	522.0	16.0	16.0	0.64	0.03065134099616858	0.05850091407678245
chr19	93.0	897.0	69.0	70.0	0.7419354838709677	0.07803790412486064	0.14122187623349852
chr20	57.0	638.0	43.0	44.0	0.7543859649122807	0.06896551724137931	0.12637766348273327
chr21	19.0	279.0	10.0	10.0	0.5263157894736842	0.035842293906810034	0.06711409395973154
chr22	47.0	473.0	40.0	40.0	0.851063829787234	0.08456659619450317	0.15384615384615385
chrX	15.0	727.0	7.0	7.0	0.4666666666666667	0.009628610729023384	0.01886792452830189
average	65.0	1015.7391304347826	45.82608695652174	46.391304347826086	0.6792827916826407	0.04594779363379446	0.0855935105343683
standard error	7.357876046859489	92.72099372545567	5.644841702081072	5.688466637808958	0.02021633396751652	0.004074090495020562	0.007271851821675575
overall	1495.0	23362.0	1054.0	1067.0	0.7050167224080267	0.045672459549696086	0.08578742976438242
