chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	764.0	941.0	437.0	434.0	0.5719895287958116	0.461211477151966	0.5106617859888287
chr2	595.0	739.0	321.0	321.0	0.5394957983193277	0.43437077131258456	0.4812593703148426
chr3	463.0	666.0	272.0	272.0	0.5874730021598272	0.4084084084084084	0.4818423383525244
chr4	302.0	551.0	198.0	198.0	0.6556291390728477	0.35934664246823955	0.4642438452520516
chr5	365.0	581.0	215.0	216.0	0.589041095890411	0.3717728055077453	0.4558415744398911
chr6	449.0	660.0	276.0	279.0	0.6146993318485523	0.42272727272727273	0.500951433004479
chr7	372.0	508.0	216.0	219.0	0.5806451612903226	0.4311023622047244	0.4948220674072679
chr8	328.0	550.0	198.0	198.0	0.6036585365853658	0.36	0.4510250569476082
chr9	303.0	394.0	185.0	187.0	0.6105610561056105	0.4746192893401015	0.5340753834397264
chr10	330.0	454.0	181.0	185.0	0.5484848484848485	0.40748898678414097	0.467589230855164
chr11	471.0	553.0	263.0	268.0	0.5583864118895966	0.484629294755877	0.5188999768098443
chr12	389.0	516.0	227.0	229.0	0.583547557840617	0.4437984496124031	0.5041680204448797
chr13	157.0	266.0	84.0	84.0	0.535031847133758	0.3157894736842105	0.39716312056737585
chr14	286.0	338.0	160.0	159.0	0.5594405594405595	0.47041420118343197	0.5110794141872753
chr15	255.0	325.0	141.0	141.0	0.5529411764705883	0.4338461538461538	0.4862068965517241
chr16	298.0	281.0	143.0	140.0	0.4798657718120805	0.498220640569395	0.48887098152692815
chr17	310.0	387.0	164.0	159.0	0.5290322580645161	0.4108527131782946	0.4625126376842441
chr18	150.0	237.0	82.0	88.0	0.5466666666666666	0.37130801687763715	0.44223815652387083
chr19	224.0	259.0	108.0	108.0	0.48214285714285715	0.416988416988417	0.4472049689440994
chr20	217.0	270.0	130.0	130.0	0.5990783410138248	0.48148148148148145	0.5338809034907598
chr21	87.0	115.0	54.0	52.0	0.6206896551724138	0.45217391304347826	0.5231973169368362
chr22	169.0	170.0	90.0	90.0	0.5325443786982249	0.5294117647058824	0.5309734513274337
chrX	162.0	318.0	78.0	80.0	0.48148148148148145	0.25157232704402516	0.3304734667937718
average	323.7391304347826	438.2173913043478	183.6086956521739	184.2173913043478	0.5635881070165266	0.421371080994603	0.47909484338223585
standard error	32.23893120655715	41.88875520159187	18.862592289166702	18.84972363493941	0.009535085496495416	0.013108225403117792	0.009831571758419809
overall	7446.0	10079.0	4223.0	4237.0	0.567150147730325	0.4203790058537553	0.48285767444410965
