chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	613.0	949.0	264.0	261.0	0.43066884176182707	0.27502634351949423	0.33568395898949893
chr2	389.0	749.0	160.0	156.0	0.41131105398457585	0.2082777036048064	0.27652832864328286
chr3	355.0	672.0	152.0	154.0	0.428169014084507	0.22916666666666666	0.2985447727881439
chr4	192.0	552.0	75.0	74.0	0.390625	0.13405797101449277	0.19961156668105312
chr5	246.0	586.0	95.0	96.0	0.3861788617886179	0.16382252559726962	0.23005322503342332
chr6	329.0	669.0	147.0	145.0	0.44680851063829785	0.21674140508221226	0.2918903374233129
chr7	230.0	509.0	90.0	88.0	0.391304347826087	0.17288801571709234	0.2398183194549584
chr8	232.0	556.0	93.0	93.0	0.40086206896551724	0.1672661870503597	0.2360406091370558
chr9	197.0	398.0	80.0	80.0	0.40609137055837563	0.20100502512562815	0.2689075630252101
chr10	272.0	461.0	106.0	102.0	0.3897058823529412	0.22125813449023862	0.28226080146195015
chr11	387.0	556.0	163.0	156.0	0.42118863049095606	0.2805755395683453	0.33679470198675493
chr12	321.0	524.0	126.0	123.0	0.3925233644859813	0.23473282442748092	0.2937814552588928
chr13	73.0	270.0	31.0	31.0	0.4246575342465753	0.11481481481481481	0.18075801749271136
chr14	214.0	342.0	79.0	80.0	0.3691588785046729	0.23391812865497075	0.28637455253976163
chr15	235.0	329.0	86.0	86.0	0.3659574468085106	0.2613981762917933	0.30496453900709214
chr16	232.0	283.0	85.0	87.0	0.36637931034482757	0.30742049469964666	0.33432039603065167
chr17	404.0	393.0	134.0	124.0	0.3316831683168317	0.3155216284987277	0.3234006111446311
chr18	103.0	238.0	42.0	44.0	0.4077669902912621	0.18487394957983194	0.2544052863436123
chr19	296.0	261.0	85.0	83.0	0.28716216216216217	0.31800766283524906	0.30179881504930167
chr20	239.0	271.0	85.0	83.0	0.35564853556485354	0.3062730627306273	0.32911923866392984
chr21	57.0	116.0	24.0	24.0	0.42105263157894735	0.20689655172413793	0.27745664739884396
chr22	210.0	171.0	70.0	62.0	0.3333333333333333	0.36257309941520466	0.3473389355742297
chrX	69.0	321.0	16.0	16.0	0.2318840579710145	0.04984423676012461	0.08205128205128205
average	256.30434782608694	442.4347826086956	99.47826086956522	97.73913043478261	0.3821791737417684	0.2246243542551833	0.274430607007808
standard error	26.33753500479664	42.31613686383576	11.386815336119355	11.151705835818742	0.010347505233396784	0.015401838573816183	0.012694895589761107
overall	5895.0	10176.0	2288.0	2248.0	0.38812553011026296	0.2209119496855346	0.28156417436949166
