chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	556.0	941.0	432.0	430.0	0.7769784172661871	0.4569606801275239	0.5754718150162951
chr2	393.0	739.0	282.0	287.0	0.7175572519083969	0.38836265223274696	0.5039649552132857
chr3	369.0	666.0	268.0	268.0	0.7262872628726287	0.4024024024024024	0.5178743961352656
chr4	226.0	551.0	154.0	154.0	0.6814159292035398	0.279491833030853	0.39639639639639646
chr5	287.0	581.0	215.0	219.0	0.7491289198606271	0.3769363166953528	0.5015231562353542
chr6	356.0	660.0	263.0	269.0	0.7387640449438202	0.4075757575757576	0.5253282048235713
chr7	273.0	508.0	211.0	212.0	0.7728937728937729	0.41732283464566927	0.5419958319197402
chr8	229.0	550.0	178.0	179.0	0.777292576419214	0.32545454545454544	0.45880582615144244
chr9	225.0	394.0	159.0	159.0	0.7066666666666667	0.4035532994923858	0.5137318255250404
chr10	245.0	454.0	180.0	183.0	0.7346938775510204	0.40308370044052866	0.5205641815811308
chr11	345.0	553.0	246.0	251.0	0.7130434782608696	0.4538878842676311	0.5546886580156581
chr12	290.0	516.0	210.0	209.0	0.7241379310344828	0.4050387596899225	0.5195005030478783
chr13	118.0	266.0	84.0	83.0	0.711864406779661	0.31203007518796994	0.43387889725558526
chr14	190.0	338.0	143.0	144.0	0.7526315789473684	0.4260355029585799	0.5440853964647132
chr15	183.0	325.0	130.0	132.0	0.7103825136612022	0.40615384615384614	0.5168207692076017
chr16	182.0	281.0	124.0	124.0	0.6813186813186813	0.4412811387900356	0.5356371490280778
chr17	218.0	387.0	146.0	145.0	0.6697247706422018	0.37467700258397935	0.4805247866351916
chr18	112.0	237.0	75.0	76.0	0.6696428571428571	0.3206751054852321	0.4336744398371819
chr19	150.0	259.0	91.0	93.0	0.6066666666666667	0.3590733590733591	0.4511314267437832
chr20	160.0	270.0	116.0	119.0	0.725	0.44074074074074077	0.5482128673550437
chr21	64.0	115.0	47.0	47.0	0.734375	0.40869565217391307	0.5251396648044693
chr22	121.0	170.0	77.0	75.0	0.6363636363636364	0.4411764705882353	0.5210918114143921
chrX	94.0	318.0	67.0	71.0	0.7127659574468085	0.22327044025157233	0.34002859185132234
average	234.17391304347825	438.2173913043478	169.47826086956522	170.82608695652175	0.7143302694717526	0.38582086956707745	0.49826398046340953
standard error	24.013719083988548	41.88875520159187	18.652413461151895	18.719022069773523	0.00885634547942751	0.012264637924176399	0.011661376986361301
overall	5386.0	10079.0	3898.0	3929.0	0.7237281841812105	0.3898204186923306	0.5067116478776611
