chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	7787.0	1220.0	727.0	713.0	0.09336072942082958	0.5844262295081967	0.161001796687752
chr2	8351.0	796.0	344.0	347.0	0.041192671536342956	0.435929648241206	0.07527254990429186
chr3	6721.0	670.0	273.0	273.0	0.04061895551257253	0.40746268656716417	0.07387363009065079
chr4	6625.0	341.0	125.0	123.0	0.018867924528301886	0.36070381231671556	0.0358600583090379
chr5	5893.0	592.0	255.0	249.0	0.04327167826234515	0.4206081081081081	0.0784704109269074
chr6	5458.0	796.0	344.0	343.0	0.06302674972517405	0.43090452261306533	0.10996878725095739
chr7	5009.0	621.0	307.0	301.0	0.0612896785785586	0.48470209339774556	0.10881935236193119
chr8	4783.0	446.0	197.0	193.0	0.04118753920133807	0.4327354260089686	0.07521605252719883
chr10	4465.0	530.0	223.0	220.0	0.04994400895856663	0.41509433962264153	0.08916028314659832
chr11	4631.0	671.0	297.0	291.0	0.06413301662707839	0.4336810730253353	0.11174161617885486
chr12	4663.0	590.0	244.0	243.0	0.05232682822217456	0.411864406779661	0.09285637659359046
chr13	3699.0	131.0	39.0	36.0	0.010543390105433901	0.2748091603053435	0.020307652253151374
chr14	3473.0	276.0	100.0	102.0	0.028793550244745177	0.3695652173913043	0.05342467905909712
chr15	2971.0	398.0	192.0	190.0	0.06462470548636823	0.47738693467336685	0.11383884688238213
chr16	2690.0	429.0	213.0	210.0	0.079182156133829	0.48951048951048953	0.1363143916364584
chr17	3101.0	626.0	339.0	331.0	0.10931957433086101	0.5287539936102237	0.1811802413120789
chr18	2534.0	188.0	75.0	70.0	0.029597474348855565	0.3723404255319149	0.054836014205138915
chr19	2371.0	594.0	310.0	311.0	0.130746520455504	0.5235690235690236	0.20924102652028548
chr20	2186.0	331.0	167.0	165.0	0.07639524245196706	0.4984894259818731	0.1324864712825777
chr21	1121.0	142.0	69.0	69.0	0.06155218554861731	0.4859154929577465	0.10926365795724466
chr22	1315.0	248.0	149.0	145.0	0.11330798479087452	0.5846774193548387	0.1898280959640113
chrX	5767.0	251.0	65.0	64.0	0.011271024796254551	0.2549800796812749	0.021587792518480652
average	4346.090909090909	494.8636363636364	229.72727272727272	226.77272727272728	0.05838879951211786	0.4399140913071003	0.1015704447076672
standard error	426.37924356928295	55.39239384915607	31.531828338158693	31.10121250251071	0.0068939211595468695	0.01792322169941545	0.011067384513941753
overall	95614.0	10887.0	5054.0	4989.0	0.05285836802141946	0.45825296224855333	0.09478366958777909
