chromosome	MSE	SSIM	PSNR
chr1	0.00041930570443743636	0.8514287621025978	33.774691256295796
chr2	0.000341918230892914	0.8494024649212444	34.660776152249476
chr3	0.00034078453749174665	0.8472496048956895	34.67519991378763
chr4	0.00025994663756985997	0.8594260772661042	35.85115628756651
chr5	0.00031251401006111867	0.8502636914874657	35.051303694132095
chr6	0.00037131901871560345	0.8469663690329686	34.30252688966879
chr7	0.0003495022782774624	0.8508264718856862	34.565498646414355
chr8	0.00031926779854093474	0.8526209259279022	34.958447463130376
chr9	0.00033512683162317515	0.8675658385316655	34.74790669791255
chr10	0.00041736553797652205	0.8461854424960294	33.794833095865386
chr11	0.00046823766160572575	0.8398954895821322	33.29533565018524
chr12	0.00043438700988870823	0.8434063715338771	33.62123070590628
chr13	0.0002821290587325386	0.8681757675342566	35.49552026137375
chr14	0.00038093308171337984	0.8600328660426421	34.19151195867871
chr15	0.0003898859191065814	0.8646454986194947	34.09062337865944
chr16	0.0005360541293734575	0.8516242889970471	32.70791273131246
chr17	0.0007996983677958525	0.8362876373615625	30.970737360803287
chr18	0.00037637888985530096	0.853844506091735	34.24374627658642
chr19	0.0007132475519210114	0.8331357955317529	31.46759649407201
chr20	0.0005970904103452504	0.8394024085860745	32.239598310748654
chr21	0.0004057672290346125	0.8745366228891319	33.91722923766912
chr22	0.0007249186685623808	0.8667249828923578	31.397106559691665
chrX	0.0002612720540997055	0.8678100818335468	35.82906874104517
average	0.00042769785294005555	0.8531068680888245	33.906502511467615
standard error	3.118610768053217e-05	0.0023561164840770923	0.2835124635437015
