chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	3370.0	1331.0	919.0	916.0	0.27270029673590507	0.6882043576258452	0.39061842751540626
chr2	3447.0	1183.0	870.0	846.0	0.2523933855526545	0.7151310228233305	0.37310550183860997
chr3	2329.0	942.0	651.0	649.0	0.27951910691283816	0.6889596602972399	0.39769047183144657
chr4	1805.0	727.0	491.0	484.0	0.27202216066481993	0.6657496561210454	0.38623182458310207
chr5	2226.0	819.0	592.0	582.0	0.265947888589398	0.7106227106227107	0.3870454622046979
chr6	2168.0	919.0	620.0	616.0	0.2859778597785978	0.6702937976060935	0.40090947835160196
chr7	2124.0	782.0	557.0	552.0	0.262241054613936	0.7058823529411765	0.38241267843350407
chr8	1658.0	708.0	477.0	474.0	0.28769601930036187	0.6694915254237288	0.4024499647563919
chr9	1393.0	524.0	381.0	370.0	0.27351040918880115	0.7061068702290076	0.394291899632755
chr10	1686.0	605.0	426.0	421.0	0.2526690391459075	0.6958677685950413	0.3707272907674753
chr11	1733.0	702.0	501.0	497.0	0.2890940565493364	0.707977207977208	0.4105463877665595
chr12	2011.0	794.0	563.0	561.0	0.2799602187966186	0.7065491183879093	0.4010213351633736
chr13	966.0	389.0	245.0	242.0	0.2536231884057971	0.622107969151671	0.36034119674118825
chr14	1206.0	490.0	320.0	318.0	0.26533996683250416	0.6489795918367347	0.37667404517423403
chr15	1163.0	520.0	345.0	347.0	0.29664660361135	0.6673076923076923	0.4107135811829608
chr16	1101.0	418.0	313.0	308.0	0.28428701180744775	0.7368421052631579	0.4102804175834464
chr17	1524.0	551.0	404.0	396.0	0.2650918635170604	0.7186932849364791	0.38731981774780055
chr18	883.0	366.0	241.0	237.0	0.2729331823329558	0.6475409836065574	0.38400952006373595
chr19	1024.0	444.0	285.0	276.0	0.2783203125	0.6216216216216216	0.38449130422031264
chr20	847.0	412.0	279.0	276.0	0.3293978748524203	0.6699029126213593	0.44163799036476253
chr21	351.0	144.0	96.0	95.0	0.27350427350427353	0.6597222222222222	0.3866946511479998
chr22	506.0	263.0	190.0	186.0	0.37549407114624506	0.7072243346007605	0.4905403717224435
chrX	780.0	397.0	230.0	223.0	0.2948717948717949	0.5617128463476071	0.38672950047125354
average	1578.304347826087	627.3913043478261	434.60869565217394	429.2173913043478	0.2810105060526532	0.6779344179637476	0.39636883127239403
standard error	167.41048501575966	59.87690730309588	43.266831773783125	42.87296044408499	0.0055594512684998	0.008272860939356388	0.005528845978242229
overall	36301.0	14430.0	9996.0	9872.0	0.27536431503264375	0.6841302841302841	0.3926756174489623
