chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	2214.0	949.0	281.0	270.0	0.12691960252935863	0.2845100105374078	0.17553377932070027
chr2	2016.0	749.0	187.0	191.0	0.09275793650793651	0.25500667556742324	0.13603392754785104
chr3	1732.0	672.0	162.0	163.0	0.09353348729792148	0.2425595238095238	0.13500690219336367
chr4	1715.0	552.0	105.0	107.0	0.061224489795918366	0.19384057971014493	0.093056964777504
chr5	1552.0	586.0	137.0	139.0	0.08827319587628867	0.23720136518771331	0.12866457214283303
chr6	1678.0	669.0	181.0	187.0	0.10786650774731824	0.2795216741405082	0.15566312158666282
chr7	1724.0	509.0	141.0	140.0	0.08178654292343387	0.275049115913556	0.12608222170415387
chr8	1074.0	556.0	121.0	125.0	0.11266294227188083	0.22482014388489208	0.15010470113037522
chr9	1440.0	398.0	126.0	125.0	0.0875	0.314070351758794	0.13686844986704208
chr10	817.0	461.0	119.0	116.0	0.1456548347613219	0.25162689804772237	0.18450722109723253
chr11	1051.0	556.0	169.0	169.0	0.16079923882017128	0.3039568345323741	0.2103298070939639
chr12	1091.0	524.0	147.0	145.0	0.13473877176901924	0.2767175572519084	0.181232277455861
chr13	1257.0	270.0	80.0	77.0	0.06364359586316627	0.2851851851851852	0.10406372213634714
chr14	970.0	342.0	110.0	108.0	0.1134020618556701	0.3157894736842105	0.16687737041719344
chr15	682.0	329.0	103.0	104.0	0.15102639296187684	0.3161094224924012	0.20439822544483138
chr16	610.0	283.0	100.0	96.0	0.16393442622950818	0.3392226148409894	0.22104536034998848
chr17	475.0	393.0	90.0	89.0	0.18947368421052632	0.22646310432569974	0.20632365252108956
chr18	572.0	238.0	52.0	59.0	0.09090909090909091	0.24789915966386555	0.133032694475761
chr19	198.0	261.0	51.0	51.0	0.25757575757575757	0.19540229885057472	0.2222222222222222
chr20	217.0	271.0	68.0	71.0	0.31336405529953915	0.26199261992619927	0.28538495640608835
chr21	187.0	116.0	50.0	48.0	0.26737967914438504	0.41379310344827586	0.32485110990795885
chr22	156.0	171.0	60.0	58.0	0.38461538461538464	0.3391812865497076	0.36047234307022996
chrX	1717.0	321.0	51.0	53.0	0.0297029702970297	0.16510903426791276	0.050348321722609245
average	1093.2608695652175	442.4347826086956	117.0	117.0	0.1442932456201089	0.2715229579816083	0.17791756193877664
standard error	131.9340507398665	42.31613686383576	11.630850349045733	11.410417540935915	0.018092491998264404	0.011538635557830537	0.015117129759316625
overall	25145.0	10176.0	2691.0	2691.0	0.10701928812885265	0.2644457547169811	0.15237394184762607
