chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	575.0	949.0	273.0	273.0	0.4747826086956522	0.2876712328767123	0.3582677165354331
chr2	542.0	749.0	192.0	195.0	0.35424354243542433	0.260347129506008	0.30012264627371765
chr3	448.0	672.0	172.0	173.0	0.38392857142857145	0.25744047619047616	0.30821179980112695
chr4	494.0	552.0	149.0	146.0	0.3016194331983806	0.2644927536231884	0.28183867540745733
chr5	409.0	586.0	145.0	144.0	0.3545232273838631	0.24573378839590443	0.2902701124657667
chr6	451.0	669.0	190.0	192.0	0.4212860310421286	0.28699551569506726	0.34141000084229445
chr7	367.0	509.0	136.0	131.0	0.37057220708446864	0.25736738703339884	0.3037655262955985
chr8	379.0	556.0	147.0	139.0	0.38786279683377306	0.25	0.30403309203722856
chr9	325.0	398.0	120.0	115.0	0.36923076923076925	0.2889447236180904	0.32419099077935043
chr10	306.0	461.0	126.0	122.0	0.4117647058823529	0.2646420824295011	0.3222033578570081
chr11	455.0	556.0	171.0	169.0	0.3758241758241758	0.3039568345323741	0.33609155031953064
chr12	357.0	524.0	133.0	130.0	0.37254901960784315	0.2480916030534351	0.2978415531170867
chr13	212.0	270.0	63.0	62.0	0.2971698113207547	0.22962962962962963	0.2590701067851695
chr14	220.0	342.0	96.0	97.0	0.43636363636363634	0.28362573099415206	0.3437938418371114
chr15	166.0	329.0	81.0	81.0	0.4879518072289157	0.24620060790273557	0.32727272727272727
chr16	231.0	283.0	96.0	93.0	0.4155844155844156	0.3286219081272085	0.3670222605907381
chr17	207.0	393.0	104.0	100.0	0.5024154589371981	0.2544529262086514	0.33781589033976483
chr18	135.0	238.0	57.0	58.0	0.4222222222222222	0.24369747899159663	0.30902972518227706
chr19	147.0	261.0	85.0	85.0	0.5782312925170068	0.32567049808429116	0.41666666666666663
chr20	141.0	271.0	82.0	80.0	0.5815602836879432	0.2952029520295203	0.3916184108411438
chr21	128.0	116.0	39.0	38.0	0.3046875	0.3275862068965517	0.3157221985513421
chr22	77.0	171.0	46.0	45.0	0.5974025974025974	0.2631578947368421	0.36536934074662425
chrX	249.0	321.0	68.0	66.0	0.27309236947791166	0.205607476635514	0.2345930688411479
average	305.2608695652174	442.4347826086956	120.47826086956522	118.8695652173913	0.41195080362565245	0.27039725379090646	0.32331396779940486
standard error	30.469917607650554	42.31613686383576	11.677969794388314	11.739818454438982	0.018863027358303707	0.006600320751040127	0.008511824890686857
overall	7021.0	10176.0	2771.0	2734.0	0.3946731234866828	0.26867138364779874	0.3197052904947576
