chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	598.0	949.0	441.0	441.0	0.7374581939799331	0.46469968387776606	0.5701357466063348
chr2	413.0	749.0	284.0	292.0	0.6876513317191283	0.38985313751668893	0.49759984639016897
chr3	394.0	672.0	269.0	273.0	0.682741116751269	0.40625	0.5093954843408595
chr4	231.0	552.0	167.0	167.0	0.7229437229437229	0.302536231884058	0.4265644955300128
chr5	261.0	586.0	201.0	205.0	0.7701149425287356	0.34982935153583616	0.48111109165104987
chr6	361.0	669.0	248.0	261.0	0.6869806094182825	0.3901345291479821	0.49765312359446895
chr7	276.0	509.0	198.0	202.0	0.717391304347826	0.3968565815324165	0.511019970102342
chr8	235.0	556.0	180.0	181.0	0.7659574468085106	0.3255395683453237	0.45689443606913716
chr9	237.0	398.0	162.0	163.0	0.6835443037974683	0.40954773869346733	0.5122057668247548
chr10	258.0	461.0	172.0	178.0	0.6666666666666666	0.38611713665943603	0.489010989010989
chr11	378.0	556.0	257.0	260.0	0.6798941798941799	0.4676258992805755	0.5541273447995622
chr12	327.0	524.0	226.0	232.0	0.691131498470948	0.44274809160305345	0.5397348266490983
chr13	120.0	270.0	84.0	84.0	0.7	0.3111111111111111	0.43076923076923074
chr14	200.0	342.0	141.0	144.0	0.705	0.42105263157894735	0.527225987380229
chr15	206.0	329.0	132.0	135.0	0.6407766990291263	0.41033434650455924	0.5002947864903563
chr16	196.0	283.0	130.0	135.0	0.6632653061224489	0.47703180212014135	0.5549407114624506
chr17	258.0	393.0	165.0	169.0	0.6395348837209303	0.4300254452926209	0.5142604221416913
chr18	106.0	238.0	75.0	80.0	0.7075471698113207	0.33613445378151263	0.45575389289783524
chr19	179.0	261.0	99.0	98.0	0.553072625698324	0.37547892720306514	0.44729259353173045
chr20	175.0	271.0	127.0	128.0	0.7257142857142858	0.47232472324723246	0.5722231022405265
chr21	59.0	116.0	50.0	51.0	0.847457627118644	0.4396551724137931	0.5789533431717562
chr22	118.0	171.0	80.0	79.0	0.6779661016949152	0.4619883040935672	0.5495174332666725
chrX	100.0	321.0	66.0	69.0	0.66	0.21495327102803738	0.3242896816919461
average	247.2173913043478	442.4347826086956	171.91304347826087	175.08695652173913	0.6962091311407245	0.3948620929761388	0.5000423611570957
standard error	25.79195852570825	42.31613686383576	18.618376005254504	18.82254482921319	0.01162027330547761	0.013551855993652244	0.012238873610832023
overall	5686.0	10176.0	3954.0	4027.0	0.6953921913471685	0.39573506289308175	0.5044160917229488
