chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	7505.0	2204.0	1459.0	1385.0	0.1944037308461026	0.6284029038112523	0.296944297310644
chr2	6815.0	1782.0	1140.0	1083.0	0.1672780630961115	0.6077441077441077	0.26234670704012114
chr3	5498.0	1487.0	977.0	926.0	0.17770098217533647	0.6227303295225286	0.27650040564203837
chr4	4257.0	1077.0	720.0	674.0	0.16913319238900634	0.6258124419684308	0.26629659079123474
chr5	4552.0	1298.0	813.0	771.0	0.17860281195079086	0.5939907550077042	0.27462931003889274
chr6	5002.0	1433.0	939.0	889.0	0.1877249100359856	0.6203768318213538	0.2882314909367763
chr7	4291.0	1148.0	740.0	696.0	0.17245397343276625	0.6062717770034843	0.268525798372078
chr8	3928.0	1098.0	705.0	669.0	0.1794806517311609	0.6092896174863388	0.27728148969905836
chr9	3417.0	868.0	596.0	574.0	0.17442200760901375	0.6612903225806451	0.2760365774446622
chr10	3982.0	1048.0	699.0	649.0	0.1755399296835761	0.6192748091603053	0.2735416220714107
chr11	4173.0	1273.0	829.0	784.0	0.1986580397795351	0.6158680282796544	0.3004130624141861
chr12	4175.0	1205.0	766.0	738.0	0.18347305389221558	0.612448132780083	0.2823589349130159
chr13	2272.0	569.0	342.0	330.0	0.1505281690140845	0.5799648506151143	0.23901952437528987
chr14	2592.0	775.0	516.0	495.0	0.19907407407407407	0.6387096774193548	0.3035402331633926
chr15	2899.0	793.0	509.0	484.0	0.1755777854432563	0.6103404791929382	0.2727057876754598
chr16	2656.0	712.0	455.0	427.0	0.17131024096385541	0.5997191011235955	0.2664957560394823
chr17	3112.0	1056.0	687.0	631.0	0.22075835475578406	0.5975378787878788	0.3224051965978765
chr18	1929.0	522.0	368.0	342.0	0.19077242094349403	0.6551724137931034	0.29550113052849564
chr19	2565.0	897.0	533.0	504.0	0.2077972709551657	0.5618729096989966	0.3033914011319917
chr20	2102.0	638.0	407.0	389.0	0.19362511893434825	0.609717868338558	0.2939135503608875
chr21	872.0	279.0	178.0	168.0	0.20412844036697247	0.6021505376344086	0.30489707276787076
chr22	1357.0	473.0	278.0	263.0	0.20486366985998525	0.5560253699788583	0.29941132508164664
chrX	3107.0	727.0	388.0	368.0	0.12487930479562279	0.5061898211829436	0.20033505161871462
average	3611.217391304348	1015.7391304347826	654.0869565217391	619.0869565217391	0.18270374768383668	0.6061261289100712	0.2802053180876185
standard error	336.0301543764839	92.72099372545567	61.795017292878775	58.61025261534283	0.004253887823606557	0.0068354403705292045	0.005279658467996225
overall	83058.0	23362.0	15044.0	14239.0	0.1811264417635869	0.6094940501669378	0.2792629073229625
