chromosome	position	predicted	target	matched predicted	matched target	precision	recall	F1 score
1	0	21	13	7.0	7.0	0.3333333333333333	0.5384615384615384	0.4117647058823529
1	400	14	18	9.0	9.0	0.6428571428571429	0.5	0.5625
1	800	25	20	11.0	12.0	0.44	0.6	0.5076923076923077
1	1200	12	13	7.0	9.0	0.5833333333333334	0.6923076923076923	0.6331658291457287
1	1600	25	17	11.0	10.0	0.44	0.5882352941176471	0.5034324942791762
1	2000	13	18	8.0	8.0	0.6153846153846154	0.4444444444444444	0.5161290322580645
1	2400	37	32	21.0	20.0	0.5675675675675675	0.625	0.5949008498583569
1	2800	21	24	13.0	12.0	0.6190476190476191	0.5	0.5531914893617021
1	3200	17	10	5.0	4.0	0.29411764705882354	0.4	0.3389830508474576
1	3600	25	19	11.0	11.0	0.44	0.5789473684210527	0.5
1	4000	17	23	11.0	12.0	0.6470588235294118	0.5217391304347826	0.5776805251641138
1	4400	12	18	10.0	10.0	0.8333333333333334	0.5555555555555556	0.6666666666666666
1	4800	8	8	5.0	4.0	0.625	0.5	0.5555555555555556
1	5200	14	16	10.0	10.0	0.7142857142857143	0.625	0.6666666666666666
1	5600	4	2	2.0	2.0	0.5	1.0	0.6666666666666666
1	6000	6	6	2.0	2.0	0.3333333333333333	0.3333333333333333	0.3333333333333333
1	6400	19	29	13.0	12.0	0.6842105263157895	0.41379310344827586	0.5157024793388431
1	6800	8	9	7.0	6.0	0.875	0.6666666666666666	0.7567567567567568
1	7200	4	2	1.0	1.0	0.25	0.5	0.3333333333333333
1	7600	5	13	3.0	3.0	0.6	0.23076923076923078	0.3333333333333333
1	8400	12	21	9.0	9.0	0.75	0.42857142857142855	0.5454545454545454
1	8800	6	14	6.0	5.0	1.0	0.35714285714285715	0.5263157894736842
1	9200	13	20	9.0	10.0	0.6923076923076923	0.5	0.5806451612903225
1	9600	4	4	1.0	1.0	0.25	0.25	0.25
1	10000	6	10	3.0	3.0	0.5	0.3	0.37499999999999994
1	10400	0	1	0.0	0.0		0.0	
1	10800	19	22	14.0	13.0	0.7368421052631579	0.5909090909090909	0.6558558558558559
1	11200	24	23	17.0	14.0	0.7083333333333334	0.6086956521739131	0.6547455295735901
1	11600	12	18	9.0	9.0	0.75	0.5	0.6000000000000001
1	15200	25	30	15.0	13.0	0.6	0.43333333333333335	0.5032258064516129
1	15600	21	25	14.0	13.0	0.6666666666666666	0.52	0.5842696629213483
1	16000	28	22	12.0	11.0	0.42857142857142855	0.5	0.46153846153846145
1	16400	15	19	10.0	12.0	0.6666666666666666	0.631578947368421	0.6486486486486486
1	16800	10	13	5.0	5.0	0.5	0.38461538461538464	0.4347826086956522
1	17200	20	23	17.0	17.0	0.85	0.7391304347826086	0.7906976744186047
1	17600	8	13	6.0	6.0	0.75	0.46153846153846156	0.5714285714285714
1	18000	16	22	13.0	13.0	0.8125	0.5909090909090909	0.6842105263157894
1	18400	6	13	5.0	5.0	0.8333333333333334	0.38461538461538464	0.5263157894736842
1	18800	0	1	0.0	0.0		0.0	
1	19200	9	6	7.0	4.0	0.7777777777777778	0.6666666666666666	0.717948717948718
1	19600	8	7	4.0	3.0	0.5	0.42857142857142855	0.46153846153846145
1	20000	19	25	14.0	11.0	0.7368421052631579	0.44	0.5509838998211091
1	20400	31	36	16.0	19.0	0.5161290322580645	0.5277777777777778	0.5218884120171674
1	20800	16	18	9.0	9.0	0.5625	0.5	0.5294117647058824
1	21200	12	15	8.0	7.0	0.6666666666666666	0.4666666666666667	0.5490196078431373
1	21600	3	3	0.0	0.0	0.0	0.0	0.0
1	22000	11	20	5.0	5.0	0.45454545454545453	0.25	0.3225806451612903
1	22400	13	18	8.0	7.0	0.6153846153846154	0.3888888888888889	0.4765957446808511
1	22800	10	13	6.0	6.0	0.6	0.46153846153846156	0.5217391304347826
1	23200	19	22	11.0	11.0	0.5789473684210527	0.5	0.5365853658536585
1	23600	5	10	2.0	2.0	0.4	0.2	0.26666666666666666
1	24000	5	5	3.0	3.0	0.6	0.6	0.6
1	24400	9	14	7.0	6.0	0.7777777777777778	0.42857142857142855	0.5526315789473684
2	0	3	5	0.0	0.0	0.0	0.0	0.0
2	400	5	2	1.0	1.0	0.2	0.5	0.2857142857142857
2	800	17	19	12.0	13.0	0.7058823529411765	0.6842105263157895	0.6948775055679288
2	1200	2	4	0.0	0.0	0.0	0.0	0.0
2	1600	4	13	3.0	2.0	0.75	0.15384615384615385	0.25531914893617025
2	2000	10	5	4.0	4.0	0.4	0.8	0.5333333333333333
2	2400	13	16	8.0	8.0	0.6153846153846154	0.5	0.5517241379310345
2	2800	7	11	5.0	5.0	0.7142857142857143	0.45454545454545453	0.5555555555555556
2	3200	3	8	1.0	1.0	0.3333333333333333	0.125	0.18181818181818182
2	3600	17	17	9.0	9.0	0.5294117647058824	0.5294117647058824	0.5294117647058824
2	4000	14	18	11.0	13.0	0.7857142857142857	0.7222222222222222	0.7526315789473683
2	4400	20	19	15.0	14.0	0.75	0.7368421052631579	0.743362831858407
2	4800	3	5	2.0	2.0	0.6666666666666666	0.4	0.5
2	5200	8	11	4.0	6.0	0.5	0.5454545454545454	0.5217391304347826
2	5600	3	6	2.0	2.0	0.6666666666666666	0.3333333333333333	0.4444444444444444
2	6000	10	12	5.0	5.0	0.5	0.4166666666666667	0.45454545454545453
2	6400	15	23	13.0	14.0	0.8666666666666667	0.6086956521739131	0.7151277013752456
2	6800	14	23	12.0	11.0	0.8571428571428571	0.4782608695652174	0.613953488372093
2	7200	11	17	8.0	8.0	0.7272727272727273	0.47058823529411764	0.5714285714285714
2	7600	3	4	1.0	1.0	0.3333333333333333	0.25	0.2857142857142857
2	8000	1	1	0.0	0.0	0.0	0.0	0.0
2	8400	15	15	7.0	6.0	0.4666666666666667	0.4	0.4307692307692308
2	9600	21	19	10.0	9.0	0.47619047619047616	0.47368421052631576	0.47493403693931396
2	10000	19	19	11.0	11.0	0.5789473684210527	0.5789473684210527	0.5789473684210527
2	10400	5	5	3.0	3.0	0.6	0.6	0.6
2	10800	7	8	2.0	2.0	0.2857142857142857	0.25	0.26666666666666666
2	11200	30	11	7.0	6.0	0.23333333333333334	0.5454545454545454	0.32684824902723736
2	11600	5	5	2.0	2.0	0.4	0.4	0.4
2	12000	11	14	7.0	9.0	0.6363636363636364	0.6428571428571429	0.6395939086294418
2	12400	3	2	1.0	1.0	0.3333333333333333	0.5	0.4
