chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	493.0	669.0	172.0	167.0	0.3488843813387424	0.24962630792227206	0.29102477722784814
chr2	434.0	356.0	94.0	92.0	0.21658986175115208	0.25842696629213485	0.2356660126444299
chr3	576.0	345.0	94.0	85.0	0.16319444444444445	0.2463768115942029	0.1963386165376582
chr4	244.0	214.0	41.0	39.0	0.1680327868852459	0.1822429906542056	0.17484964461454347
chr5	249.0	257.0	58.0	56.0	0.23293172690763053	0.2178988326848249	0.22516464471403813
chr6	343.0	346.0	94.0	85.0	0.27405247813411077	0.24566473988439305	0.2590833184714408
chr7	398.0	271.0	83.0	77.0	0.20854271356783918	0.28413284132841327	0.2405389638495267
chr8	209.0	203.0	43.0	44.0	0.20574162679425836	0.21674876847290642	0.21110181311018134
chr10	292.0	256.0	61.0	54.0	0.2089041095890411	0.2109375	0.2099158807035432
chr11	211.0	348.0	74.0	72.0	0.35071090047393366	0.20689655172413793	0.26025791324736225
chr12	193.0	244.0	56.0	52.0	0.29015544041450775	0.21311475409836064	0.24573839662447255
chr13	87.0	65.0	10.0	10.0	0.11494252873563218	0.15384615384615385	0.13157894736842105
chr14	94.0	131.0	25.0	25.0	0.26595744680851063	0.19083969465648856	0.2222222222222222
chr15	84.0	184.0	31.0	31.0	0.36904761904761907	0.16847826086956522	0.23134328358208955
chr16	129.0	182.0	34.0	33.0	0.26356589147286824	0.1813186813186813	0.2148396361895644
chr17	115.0	279.0	47.0	46.0	0.40869565217391307	0.16487455197132617	0.23496169102863662
chr18	138.0	84.0	24.0	19.0	0.17391304347826086	0.2261904761904762	0.19663648124191463
chr19	67.0	229.0	41.0	40.0	0.6119402985074627	0.17467248908296942	0.2717706520838512
chr20	81.0	173.0	38.0	36.0	0.4691358024691358	0.20809248554913296	0.28830347734457323
chr21	87.0	60.0	17.0	17.0	0.19540229885057472	0.2833333333333333	0.23129251700680273
chr22	4.0	108.0	2.0	2.0	0.5	0.018518518518518517	0.03571428571428571
chrX	140.0	132.0	31.0	26.0	0.22142857142857142	0.19696969696969696	0.20848422141748574
average	212.1818181818182	233.45454545454547	53.18181818181818	50.36363636363637	0.28462589196697524	0.2045091548619179	0.2189466998611314
standard error	32.620979383618725	28.490427288267956	8.057057448867827	7.707180397094448	0.02655983152948323	0.0117763734016248	0.011642135146564002
overall	4668.0	5136.0	1170.0	1108.0	0.2506426735218509	0.21573208722741433	0.2318807605293999
