chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	3061.0	1331.0	928.0	915.0	0.3031688990525972	0.6874530428249437	0.42077481495833857
chr2	2822.0	1183.0	817.0	805.0	0.28951098511693835	0.6804733727810651	0.40620142973564805
chr3	2178.0	942.0	641.0	634.0	0.2943067033976125	0.673036093418259	0.40953224559801765
chr4	1710.0	727.0	510.0	498.0	0.2982456140350877	0.6850068775790922	0.4155601914345318
chr5	2000.0	819.0	598.0	585.0	0.299	0.7142857142857143	0.42154236571267445
chr6	1890.0	919.0	614.0	610.0	0.32486772486772486	0.6637649619151251	0.43623039356707505
chr7	1919.0	782.0	552.0	550.0	0.2876498176133403	0.7033248081841432	0.4083076347879181
chr8	1462.0	708.0	494.0	488.0	0.3378932968536252	0.6892655367231638	0.4534804102301713
chr9	1272.0	524.0	381.0	367.0	0.29952830188679247	0.700381679389313	0.41960604260069506
chr10	1520.0	605.0	432.0	425.0	0.28421052631578947	0.7024793388429752	0.4046905307705872
chr11	1585.0	702.0	492.0	481.0	0.31041009463722397	0.6851851851851852	0.4272587515989344
chr12	1671.0	794.0	515.0	518.0	0.3081986834230999	0.6523929471032746	0.41863085411553497
chr13	1015.0	389.0	268.0	255.0	0.26403940886699506	0.6555269922879178	0.37644907278621337
chr14	1070.0	490.0	333.0	331.0	0.31121495327102805	0.6755102040816326	0.42611435419646654
chr15	1040.0	520.0	356.0	343.0	0.3423076923076923	0.6596153846153846	0.45071607854717255
chr16	1086.0	418.0	309.0	306.0	0.2845303867403315	0.7320574162679426	0.4097876821863664
chr17	1243.0	551.0	380.0	372.0	0.3057119871279163	0.6751361161524501	0.4208545705711427
chr18	796.0	366.0	245.0	242.0	0.30778894472361806	0.6612021857923497	0.4200466167437708
chr19	966.0	444.0	278.0	266.0	0.28778467908902694	0.5990990990990991	0.38880301166177694
chr20	755.0	412.0	276.0	270.0	0.3655629139072848	0.6553398058252428	0.4693256749863019
chr21	351.0	144.0	100.0	99.0	0.2849002849002849	0.6875	0.4028566196667277
chr22	623.0	263.0	194.0	190.0	0.3113964686998395	0.7224334600760456	0.4352035515254557
chrX	1074.0	397.0	249.0	245.0	0.23184357541899442	0.6171284634760705	0.3370600276808579
average	1439.5217391304348	627.3913043478261	433.1304347826087	425.8695652173913	0.30148138879360187	0.6772868993872343	0.41647969242010346
standard error	138.79629156299956	59.87690730309588	41.695172010242864	41.374282380260404	0.005575639166486239	0.00641502013027046	0.005559725538924234
overall	33109.0	14430.0	9962.0	9795.0	0.3008849557522124	0.6787941787941788	0.4169507122266355
