chromosome	MSE	SSIM	PSNR
chr1	0.0004974096297092172	0.85478948114437	33.03285723855596
chr2	0.00038644053194021805	0.8531644641567186	34.12917216367064
chr3	0.0003816619654943973	0.8517275976251174	34.183210037008
chr4	0.00027191381075443975	0.8650464147520448	35.655685739154215
chr5	0.0003429310822599063	0.8546195864248054	34.64793023290709
chr6	0.0004124200321687207	0.8510638314771878	33.846601429123325
chr7	0.000380308673434451	0.8552132843152341	34.19863655629124
chr8	0.00035315329775315746	0.8569401231325219	34.520366109664074
chr9	0.000376784870907405	0.8710913992073911	34.23906428549423
chr10	0.00048292079103020896	0.8490414043319451	33.16124006728679
chr11	0.0005699640709425584	0.8426077194727305	32.441524440661155
chr12	0.0004980112779613477	0.8473719150973108	33.02760734892128
chr13	0.000298790540013034	0.8722919956194397	35.24633011456237
chr14	0.00043519951471109795	0.8633563680742598	33.613114977972806
chr15	0.00047217864166372944	0.8668011627310087	33.258935695359085
chr16	0.0006359118489675887	0.8535207624543698	31.96603014422059
chr17	0.0009821637610708527	0.8384333072030422	30.078160498686955
chr18	0.0004059564860088748	0.8582684733498792	33.91520408454624
chr19	0.0008996245588544629	0.8350584815582534	30.459386489926846
chr20	0.0007344799573549034	0.8415844201657597	31.34019991702589
chr21	0.00043835133093881847	0.8772261874456766	33.58177571411871
chr22	0.0008571118586400243	0.8684186055406468	30.6696244547029
chrX	0.0002618275715276333	0.8718542669254136	35.819844564992096
average	0.0004945876567003064	0.8564996196610923	33.349239230645765
standard error	4.1580723808738706e-05	0.0024023116580177265	0.32921384516671814
