chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	926.0	949.0	388.0	395.0	0.4190064794816415	0.41622760800842995	0.41761242101304935
chr2	702.0	749.0	282.0	293.0	0.4017094017094017	0.39118825100133514	0.39637902250877904
chr3	567.0	672.0	267.0	272.0	0.4708994708994709	0.40476190476190477	0.4353330456049489
chr4	360.0	552.0	167.0	169.0	0.4638888888888889	0.3061594202898551	0.3688702425763279
chr5	470.0	586.0	219.0	221.0	0.46595744680851064	0.3771331058020478	0.41686620385523077
chr6	600.0	669.0	239.0	242.0	0.3983333333333333	0.3617339312406577	0.3791524495970055
chr7	409.0	509.0	191.0	193.0	0.4669926650366748	0.3791748526522593	0.41852676037148884
chr8	393.0	556.0	197.0	198.0	0.5012722646310432	0.35611510791366907	0.4164060081346813
chr9	366.0	398.0	155.0	162.0	0.42349726775956287	0.40703517587939697	0.4151030731844406
chr10	441.0	461.0	174.0	174.0	0.3945578231292517	0.3774403470715835	0.3858093126385809
chr11	570.0	556.0	240.0	243.0	0.42105263157894735	0.4370503597122302	0.4289023717595146
chr12	498.0	524.0	218.0	220.0	0.43775100401606426	0.4198473282442748	0.4286122828340603
chr13	207.0	270.0	83.0	82.0	0.40096618357487923	0.3037037037037037	0.3456225878529352
chr14	321.0	342.0	145.0	147.0	0.4517133956386293	0.4298245614035088	0.4404972255804582
chr15	341.0	329.0	133.0	135.0	0.39002932551319647	0.41033434650455924	0.3999242694226657
chr16	372.0	283.0	125.0	129.0	0.33602150537634407	0.4558303886925795	0.3868622770293776
chr17	384.0	393.0	173.0	174.0	0.4505208333333333	0.44274809160305345	0.44660064537665517
chr18	189.0	238.0	88.0	93.0	0.4656084656084656	0.3907563025210084	0.4249110874587887
chr19	243.0	261.0	102.0	103.0	0.41975308641975306	0.3946360153256705	0.4068072254167392
chr20	257.0	271.0	120.0	118.0	0.4669260700389105	0.4354243542435424	0.4506253381281228
chr21	111.0	116.0	51.0	49.0	0.4594594594594595	0.4224137931034483	0.4401585204755615
chr22	175.0	171.0	80.0	78.0	0.45714285714285713	0.45614035087719296	0.45664105378704717
chrX	133.0	321.0	79.0	80.0	0.5939849624060151	0.24922118380062305	0.3511208644684574
average	392.82608695652175	442.4347826086956	170.2608695652174	172.6086956521739	0.44161064442541886	0.39238697758071894	0.411188882133692
standard error	40.393844293578766	42.31613686383576	16.707695960648074	17.133022817684093	0.010351687540277207	0.010658153328137413	0.006358437207705474
overall	9035.0	10176.0	3916.0	3970.0	0.4334255672385169	0.39013364779874216	0.4106417474506712
