chromosome	MSE	SSIM	PSNR
chr1	0.00020298358463327173	0.8885242399223106	36.92538868286284
chr2	0.0002578251869102885	0.8945298551910512	35.88674490291219
chr3	0.000263750399575874	0.8934794338997494	35.78806709086327
chr4	0.000292304156510355	0.9011445171387438	35.341648604362696
chr5	0.00024372155766257044	0.8954058851417048	36.131058767019304
chr6	0.0002181784455160601	0.8857062657672888	36.611879577902585
chr7	0.0002248559767432156	0.8865816324707336	36.48095371114116
chr8	0.00024316118504191653	0.8974315963646091	36.14105570152135
chr10	0.00022547410597800402	0.894795645529905	36.46903133795576
chr11	0.0002297799555092738	0.8918371655048402	36.38687669982674
chr12	0.0002320438871174536	0.8944069555363324	36.34429680834883
chr13	0.00021545799751846373	0.9135339672208549	36.66637179266487
chr14	0.0002412553956918537	0.9121576124207836	36.17522784838215
chr15	0.00017236913900481242	0.9055612149535965	37.6354023574129
chr16	0.00020740373419206282	0.8967731115016765	36.83183219243681
chr17	0.00022907537902417278	0.8936035541489206	36.400213966003946
chr18	0.0002817655037057506	0.8993562629048786	35.50112024117126
chr19	0.00023017664215501684	0.8915711817359783	36.37938561088622
chr20	0.00020357691950262052	0.8942267657411842	36.91271248272844
chr21	0.00016315778011454036	0.90641064846635	37.873919460402725
chr22	0.00020526533695999714	0.8963891314181148	36.876841719213395
chrX	0.0002142863794736497	0.9115438465033567	36.69005230149154
average	0.00022717584766096473	0.8974986586128619	36.47500372079595
standard error	6.542794852612783e-06	0.0016840710514631797	0.12739943883099997
