chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	443.0	669.0	196.0	196.0	0.44243792325056436	0.2929745889387145	0.3525179856115108
chr2	419.0	356.0	87.0	89.0	0.20763723150357996	0.25	0.22685788787483702
chr3	285.0	345.0	62.0	60.0	0.21754385964912282	0.17391304347826086	0.19329696024941542
chr4	390.0	214.0	29.0	30.0	0.07435897435897436	0.14018691588785046	0.09717413157600803
chr5	242.0	257.0	47.0	48.0	0.19421487603305784	0.1867704280155642	0.1904199198143068
chr6	213.0	346.0	75.0	77.0	0.352112676056338	0.22254335260115607	0.2727208330381809
chr7	274.0	271.0	64.0	65.0	0.23357664233576642	0.23985239852398524	0.23667292484496788
chr8	209.0	203.0	47.0	47.0	0.22488038277511962	0.2315270935960591	0.22815533980582525
chr10	285.0	256.0	50.0	51.0	0.17543859649122806	0.19921875	0.18657398939089082
chr11	203.0	348.0	80.0	81.0	0.39408866995073893	0.23275862068965517	0.2926630987060497
chr12	173.0	244.0	55.0	55.0	0.3179190751445087	0.22540983606557377	0.26378896882494
chr13	310.0	65.0	8.0	8.0	0.025806451612903226	0.12307692307692308	0.042666666666666665
chr14	165.0	131.0	19.0	19.0	0.11515151515151516	0.1450381679389313	0.12837837837837837
chr15	130.0	184.0	47.0	47.0	0.36153846153846153	0.2554347826086957	0.2993630573248408
chr16	186.0	182.0	58.0	58.0	0.3118279569892473	0.31868131868131866	0.31521739130434784
chr17	225.0	279.0	76.0	76.0	0.3377777777777778	0.2724014336917563	0.30158730158730157
chr18	112.0	84.0	17.0	18.0	0.15178571428571427	0.21428571428571427	0.17770034843205573
chr19	121.0	229.0	68.0	67.0	0.5619834710743802	0.2925764192139738	0.3848135478694201
chr20	79.0	173.0	47.0	47.0	0.5949367088607594	0.27167630057803466	0.373015873015873
chr21	48.0	60.0	17.0	17.0	0.3541666666666667	0.2833333333333333	0.3148148148148148
chr22	157.0	108.0	33.0	33.0	0.21019108280254778	0.3055555555555556	0.24905660377358488
chrX	737.0	132.0	29.0	27.0	0.03934871099050204	0.20454545454545456	0.06600075862940953
average	245.72727272727272	233.45454545454547	55.04545454545455	55.27272727272727	0.26812379205906706	0.23098911051393226	0.2360662173424376
standard error	32.25910937612889	28.490427288267956	8.21635926808194	8.241795557892898	0.03236905679386163	0.0116419621879169	0.020162850696717458
overall	5406.0	5136.0	1211.0	1216.0	0.22401035886052534	0.2367601246105919	0.23020884531639457
