chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	472.0	669.0	277.0	277.0	0.586864406779661	0.414050822122571	0.4855390008764242
chr2	286.0	356.0	86.0	88.0	0.3006993006993007	0.24719101123595505	0.271332281657823
chr3	204.0	345.0	78.0	80.0	0.38235294117647056	0.2318840579710145	0.2886884108258154
chr4	144.0	214.0	30.0	30.0	0.20833333333333334	0.14018691588785046	0.16759776536312848
chr5	171.0	257.0	47.0	49.0	0.27485380116959063	0.19066147859922178	0.22514419786880435
chr6	158.0	346.0	81.0	84.0	0.5126582278481012	0.24277456647398843	0.3295074822025279
chr7	220.0	271.0	84.0	84.0	0.38181818181818183	0.30996309963099633	0.3421588594704684
chr8	133.0	203.0	40.0	41.0	0.3007518796992481	0.2019704433497537	0.24165622927871508
chr10	191.0	256.0	65.0	64.0	0.3403141361256545	0.25	0.2882483370288248
chr11	186.0	348.0	95.0	95.0	0.510752688172043	0.27298850574712646	0.3558052434456929
chr12	175.0	244.0	74.0	74.0	0.4228571428571429	0.30327868852459017	0.3532219570405728
chr13	113.0	65.0	13.0	13.0	0.11504424778761062	0.2	0.14606741573033707
chr14	104.0	131.0	31.0	30.0	0.2980769230769231	0.22900763358778625	0.2590168500208884
chr15	133.0	184.0	63.0	64.0	0.47368421052631576	0.34782608695652173	0.40111420612813375
chr16	236.0	182.0	68.0	68.0	0.288135593220339	0.37362637362637363	0.3253588516746412
chr17	227.0	279.0	93.0	92.0	0.40969162995594716	0.32974910394265233	0.3653989878499284
chr18	66.0	84.0	13.0	13.0	0.19696969696969696	0.15476190476190477	0.1733333333333333
chr19	138.0	229.0	79.0	80.0	0.572463768115942	0.34934497816593885	0.433902028766606
chr20	94.0	173.0	56.0	55.0	0.5957446808510638	0.3179190751445087	0.4145914658769686
chr21	51.0	60.0	26.0	26.0	0.5098039215686274	0.43333333333333335	0.46846846846846846
chr22	110.0	108.0	46.0	46.0	0.41818181818181815	0.42592592592592593	0.42201834862385323
chrX	264.0	132.0	22.0	22.0	0.08333333333333333	0.16666666666666666	0.1111111111111111
average	176.1818181818182	233.45454545454547	66.68181818181819	67.04545454545455	0.3719720846939248	0.2787777578024854	0.31224003784741206
standard error	19.248841688166284	28.490427288267956	11.455992659213328	11.471303792701466	0.031244067979665523	0.018791586283485463	0.022501696107246477
overall	3876.0	5136.0	1467.0	1475.0	0.3784829721362229	0.28718847352024923	0.32657536305771706
