chromosome	MSE	SSIM	PSNR
chr1	0.00026737685813141407	0.8872968757469843	35.728760218592036
chr2	0.0003959981055466753	0.892867283820928	34.023067820617165
chr3	0.00040223293311198295	0.8924759505534856	33.95522266138192
chr4	0.00040488622273230734	0.8999241868530772	33.92666893674197
chr5	0.0003845279934304916	0.8932094594700833	34.150719253654465
chr6	0.00034756368067153547	0.8840279435214133	34.589654873271094
chr7	0.00033333196126169765	0.885287152048595	34.77122912083901
chr8	0.00037841579469787603	0.8961082296151415	34.22030630106917
chr10	0.0003643867613072831	0.8927268599739187	34.38437290767692
chr11	0.0003587072111699412	0.890526796371435	34.452597714466904
chr12	0.0003810852882130829	0.8931821322428354	34.189777028680446
chr13	0.0003013908765844396	0.9129154446752702	35.20869754271714
chr14	0.0003640375005154459	0.9111502398656811	34.38853756864627
chr15	0.00027339626030569467	0.903517008277085	35.632072714422065
chr16	0.0002895294699515826	0.8948715622745251	35.38307074731041
chr17	0.00033742800706663457	0.8909416844800743	34.7181874440389
chr18	0.00042125515228193266	0.8973568487932098	33.75454671229589
chr19	0.00028671832850282297	0.889609126352556	35.42544392369611
chr20	0.00033418275011380346	0.8931249645288318	34.76015841372763
chr21	0.0002953642932462849	0.9042990636474996	35.29641860915458
chr22	0.00024789047188147456	0.8944733663595772	36.057399906090026
chrX	0.0002829148048882383	0.9109575819784504	35.48344171877757
average	0.00033875548752784735	0.8959477164295753	34.75001600626671
standard error	1.0903023733249732e-05	0.0017237405266322069	0.14348599831382122
