chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	2797.0	872.0	575.0	564.0	0.20557740436181624	0.6467889908256881	0.31199071820398017
chr2	2809.0	538.0	346.0	350.0	0.1231755072979708	0.6505576208178439	0.20713282670456973
chr3	1806.0	369.0	235.0	233.0	0.1301218161683278	0.6314363143631436	0.2157777239203725
chr4	1657.0	233.0	133.0	130.0	0.08026554013277007	0.5579399141630901	0.14034147865859845
chr5	1867.0	377.0	238.0	239.0	0.12747723620782003	0.6339522546419099	0.21227042629851534
chr6	1780.0	478.0	304.0	300.0	0.1707865168539326	0.6276150627615062	0.2685069599830417
chr7	1829.0	382.0	264.0	261.0	0.1443411700382723	0.6832460732984293	0.23833266749334595
chr8	1302.0	279.0	171.0	168.0	0.1313364055299539	0.6021505376344086	0.2156392501266678
chr10	1425.0	330.0	205.0	203.0	0.14385964912280702	0.6151515151515151	0.2331862436086012
chr11	1611.0	441.0	279.0	275.0	0.17318435754189945	0.6235827664399093	0.27108242177562963
chr12	1447.0	384.0	240.0	236.0	0.165860400829302	0.6145833333333334	0.26122328503039305
chr13	917.0	101.0	56.0	54.0	0.061068702290076333	0.5346534653465347	0.10961684851560517
chr14	1172.0	215.0	126.0	124.0	0.1075085324232082	0.5767441860465117	0.18123397789093948
chr15	954.0	260.0	169.0	168.0	0.17714884696016772	0.6461538461538462	0.2780639727342174
chr16	1116.0	334.0	213.0	212.0	0.19086021505376344	0.6347305389221557	0.2934742342412603
chr17	1313.0	345.0	225.0	224.0	0.17136329017517135	0.6492753623188405	0.27115944875005715
chr18	664.0	168.0	89.0	89.0	0.13403614457831325	0.5297619047619048	0.2139423076923077
chr19	789.0	184.0	131.0	131.0	0.16603295310519645	0.7119565217391305	0.2692702980472765
chr20	605.0	204.0	135.0	132.0	0.2231404958677686	0.6470588235294118	0.33184357541899445
chr21	358.0	92.0	69.0	68.0	0.19273743016759776	0.7391304347826086	0.3057474260393588
chr22	521.0	181.0	127.0	125.0	0.2437619961612284	0.6906077348066298	0.360336844016706
chrX	2131.0	189.0	103.0	100.0	0.04833411543876114	0.5291005291005291	0.08857662523057871
average	1403.1818181818182	316.1818181818182	201.5	199.36363636363637	0.1505444875593693	0.6261898968608581	0.23994316183550077
standard error	141.7520491825837	36.67398410043953	24.34605757572506	24.074338824701233	0.010465247079710588	0.011871627705776103	0.014553852400632089
overall	30870.0	6956.0	4433.0	4386.0	0.14360220278587627	0.6305347901092582	0.23392806602405866
