chromosome	predicted	target	matched predicted	matched target	precision	recall	F1 score
chr1	2777.0	671.0	330.0	325.0	0.11883327331652863	0.4843517138599106	0.19084393948156286
chr2	2511.0	354.0	152.0	148.0	0.06053365193150139	0.4180790960451977	0.10575503718538158
chr3	2102.0	343.0	144.0	139.0	0.06850618458610847	0.40524781341107874	0.11719998828936967
chr4	2266.0	214.0	63.0	64.0	0.027802294792586054	0.29906542056074764	0.05087504573959346
chr5	1720.0	257.0	99.0	97.0	0.05755813953488372	0.377431906614786	0.09988402510882397
chr6	1705.0	347.0	149.0	148.0	0.0873900293255132	0.4265129682997118	0.14505842923533843
chr7	2243.0	272.0	126.0	124.0	0.05617476593847526	0.45588235294117646	0.10002432747339984
chr8	1202.0	207.0	71.0	70.0	0.05906821963394343	0.33816425120772947	0.1005696247356759
chr10	1069.0	258.0	102.0	101.0	0.09541627689429373	0.39147286821705424	0.15343485869605689
chr11	1729.0	353.0	154.0	149.0	0.08906882591093117	0.42209631728045327	0.14709775853171486
chr12	1628.0	242.0	103.0	99.0	0.06326781326781326	0.4090909090909091	0.10958742168104976
chr13	942.0	64.0	18.0	18.0	0.01910828025477707	0.28125	0.03578528827037773
chr14	1078.0	129.0	45.0	44.0	0.041743970315398886	0.34108527131782945	0.07438435674436952
chr15	602.0	189.0	99.0	96.0	0.1644518272425249	0.5079365079365079	0.24846084467275792
chr16	750.0	182.0	86.0	82.0	0.11466666666666667	0.45054945054945056	0.18280796350062217
chr17	974.0	276.0	126.0	122.0	0.1293634496919918	0.4420289855072464	0.20015103773339238
chr18	981.0	83.0	35.0	31.0	0.03567787971457696	0.37349397590361444	0.06513386961219834
chr19	475.0	230.0	101.0	99.0	0.21263157894736842	0.43043478260869567	0.28464877944630274
chr20	792.0	171.0	82.0	79.0	0.10353535353535354	0.4619883040935672	0.16916046481263872
chr21	487.0	59.0	37.0	35.0	0.07597535934291581	0.5932203389830508	0.1346993967131267
chr22	558.0	112.0	61.0	61.0	0.10931899641577061	0.5446428571428571	0.18208955223880596
chrX	1960.0	129.0	34.0	33.0	0.017346938775510204	0.2558139534883721	0.03249066110676744
average	1388.6818181818182	233.72727272727272	100.77272727272727	98.36363636363636	0.08215635345615606	0.4140836384118158	0.13318830322769667
standard error	150.01202529522732	28.590948664450686	14.016213835952966	13.801396731899237	0.010156560794232671	0.017417537510767734	0.013977454989131756
overall	30551.0	5142.0	2217.0	2164.0	0.07256718274360904	0.42084791909762737	0.12378927089366525
